"Subject","Session","participant","condizione","type_trial","label","shape","matching_task.corr","matching_task.rt","shape_type","who","trial_type"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",0,0.4114,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.9422,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.753,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.3797,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",0,0.362,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.6282,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.3401,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.4623,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.4499,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",0,0.7985,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.7138,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.7817,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",1,1.0111,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.8143,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.5418,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.6884,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",0,0.8047,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",1,0.9613,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.6097,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.6632,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.7804,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.6638,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.5012,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.826,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",1,1.0298,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.677,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.6066,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.8203,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.7346,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.6057,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.6726,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.465,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.5872,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.629,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.7312,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.9909,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,0.6504,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.6491,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",1,1.1543,"square","other","match_other"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.6228,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/triangle.png",1,0.5407,"triangle","self","match_self"
"AAPA",2,"AAPA","condizione 2","exp","TU","images/square.png",1,0.8834,"square","self","nonmatch_self"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/triangle.png",1,1.1987,"triangle","other","nonmatch_other"
"AAPA",2,"AAPA","condizione 2","exp","SCONOSCIUTO","images/square.png",0,0.678,"square","other","match_other"
