"Subject","Task","Phase","Block","Trial","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","ACC"
"3","self-matching","formal",1,1,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",496,0
"3","self-matching","formal",1,2,"Matching","T.bmp","Self","Self","Self","Sie","Sie","You","Self",412,0
"3","self-matching","formal",1,3,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",559,1
"3","self-matching","formal",1,4,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",613,0
"3","self-matching","formal",1,5,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",NA,NA
"3","self-matching","formal",1,6,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",399,0
"3","self-matching","formal",1,7,"Nonmatching","T.bmp","Self","Self","Self","Fremder","Fremder","Stranger","Stranger",763,1
"3","self-matching","formal",1,8,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Sie","Sie","You","Self",1064,0
"3","self-matching","formal",1,9,"Matching","T.bmp","Self","Self","Self","Sie","Sie","You","Self",843,0
"3","self-matching","formal",1,10,"Nonmatching","T.bmp","Self","Self","Self","Freund","Freund","Friend","Close",576,0
"3","self-matching","formal",1,11,"Nonmatching","C.bmp","Friend","Friend","Close","Sie","Sie","You","Self",404,1
"3","self-matching","formal",1,12,"Nonmatching","C.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",NA,NA
"3","self-matching","formal",1,13,"Nonmatching","T.bmp","Self","Self","Self","Fremder","Fremder","Stranger","Stranger",430,1
"3","self-matching","formal",1,14,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",763,0
"3","self-matching","formal",1,15,"Matching","T.bmp","Self","Self","Self","Sie","Sie","You","Self",519,1
"3","self-matching","formal",1,16,"Nonmatching","C.bmp","Friend","Friend","Close","Sie","Sie","You","Self",644,0
"3","self-matching","formal",1,17,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",488,0
"3","self-matching","formal",1,18,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",620,1
"3","self-matching","formal",1,19,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",752,1
"3","self-matching","formal",1,20,"Nonmatching","C.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",716,0
"3","self-matching","formal",1,21,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Sie","Sie","You","Self",889,1
"3","self-matching","formal",1,22,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",580,0
"3","self-matching","formal",1,23,"Matching","T.bmp","Self","Self","Self","Sie","Sie","You","Self",NA,NA
"3","self-matching","formal",1,24,"Nonmatching","T.bmp","Self","Self","Self","Freund","Freund","Friend","Close",687,1
"3","self-matching","formal",1,25,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",NA,NA
"3","self-matching","formal",1,26,"Nonmatching","C.bmp","Friend","Friend","Close","Fremder","Fremder","Stranger","Stranger",631,1
"3","self-matching","formal",1,27,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Sie","Sie","You","Self",1004,1
"3","self-matching","formal",1,28,"Matching","S.bmp","Stranger","Stranger","Stranger","Fremder","Fremder","Stranger","Stranger",544,0
"3","self-matching","formal",1,29,"Nonmatching","S.bmp","Stranger","Stranger","Stranger","Freund","Freund","Friend","Close",708,0
"3","self-matching","formal",1,30,"Nonmatching","T.bmp","Self","Self","Self","Fremder","Fremder","Stranger","Stranger",464,1
"3","self-matching","formal",1,31,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",380,0
"3","self-matching","formal",1,32,"Matching","C.bmp","Friend","Friend","Close","Freund","Freund","Friend","Close",392,0
