"Subject","Subject_EPrime","Session","Group","SessionDate","Phase","Block","TrialList.Sample","Target","Shape","Label","YesNoResp","CorrectAnswer","Target.ACC","Target.RT","Target.RESP","Target.CRESP","Priming"
"3","103","2","1","11-01-2017","formal",1,1,"S.bmp","Stranger","Fremder","Yes","n","0","496","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,2,"T.bmp","Self","Sie","Yes","n","0","412","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,3,"C.bmp","Friend","Freund","Yes","n","1","559","n","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,4,"S.bmp","Stranger","Freund","No","m","0","613","n","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,5,"S.bmp","Stranger","Fremder","Yes","n","0","0","","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,6,"C.bmp","Friend","Freund","Yes","n","0","399","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,7,"T.bmp","Self","Fremder","No","m","1","763","m","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,8,"S.bmp","Stranger","Sie","No","m","0","1064","n","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,9,"T.bmp","Self","Sie","Yes","n","0","843","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,10,"T.bmp","Self","Freund","No","m","0","576","n","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,11,"C.bmp","Friend","Sie","No","m","1","404","m","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,12,"C.bmp","Friend","Fremder","No","m","0","0","","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,13,"T.bmp","Self","Fremder","No","m","1","430","m","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,14,"C.bmp","Friend","Freund","Yes","n","0","763","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,15,"T.bmp","Self","Sie","Yes","n","1","519","n","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,16,"C.bmp","Friend","Sie","No","m","0","644","n","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,17,"S.bmp","Stranger","Fremder","Yes","n","0","488","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,18,"S.bmp","Stranger","Fremder","Yes","n","1","620","n","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,19,"S.bmp","Stranger","Freund","No","m","1","752","m","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,20,"C.bmp","Friend","Fremder","No","m","0","716","n","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,21,"S.bmp","Stranger","Sie","No","m","1","889","m","m","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,22,"C.bmp","Friend","Freund","Yes","n","0","580","m","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,23,"T.bmp","Self","Sie","Yes","n","0","0","","n","Counter-Imitation (2)"
"3","103","2","1","11-01-2017","formal",1,24,"T.bmp","Self","Freund","No","m","1","687","m","m","Counter-Imitation (2)"
