"Subject_ID","Exp_id","Age","Gender","Handedness","Group","Date"
"10","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-03-2017"
"100","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-13-2017"
"101","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-13-2017"
"102","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-13-2017"
"103","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-13-2017"
"104","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-13-2017"
"105","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-13-2017"
"106","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-15-2017"
"107","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-15-2017"
"108","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","12-15-2017"
"11","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-03-2017"
"110","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-15-2017"
"111","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","12-15-2017"
"113","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","12-15-2017"
"12","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-03-2017"
"13","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-03-2017"
"14","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-03-2017"
"15","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-03-2017"
"16","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-03-2017"
"17","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-08-2017"
"18","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-08-2017"
"19","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-08-2017"
"20","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-08-2017"
"21","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-08-2017"
"22","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-08-2017"
"23","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-08-2017"
"24","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-08-2017"
"25","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-10-2017"
"26","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-10-2017"
"27","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-10-2017"
"28","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-10-2017"
"29","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-10-2017"
"3","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-01-2017"
"30","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-10-2017"
"31","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-10-2017"
"32","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-10-2017"
"33","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-15-2017"
"34","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-15-2017"
"35","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-15-2017"
"36","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-15-2017"
"37","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-15-2017"
"38","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-15-2017"
"39","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-15-2017"
"4","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-01-2017"
"40","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-15-2017"
"41","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-17-2017"
"42","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-17-2017"
"43","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-17-2017"
"44","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-17-2017"
"45","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-17-2017"
"46","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-17-2017"
"47","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-17-2017"
"48","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-17-2017"
"49","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-22-2017"
"5","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-01-2017"
"50","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-22-2017"
"51","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-22-2017"
"52","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-22-2017"
"53","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-22-2017"
"54","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-22-2017"
"55","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-22-2017"
"57","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-24-2017"
"58","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-24-2017"
"59","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-24-2017"
"6","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-01-2017"
"60","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-24-2017"
"61","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-24-2017"
"62","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-24-2017"
"63","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-24-2017"
"64","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-24-2017"
"65","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-29-2017"
"66","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-29-2017"
"67","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-29-2017"
"68","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Inhibition-control (3)","11-29-2017"
"69","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Counter-Imitation (2)","11-29-2017"
"7","Bukowski_2021_ActaPsych_Exp2","/","Female","Right","Imitation (1)","11-01-2017"
