"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"P5E2",24,"Female","R","/","/","/","Hungarian","/"
2,"P5E2",21,"Female","R","/","/","/","Hungarian","/"
3,"P5E2",19,"Female","R","/","/","/","Hungarian","/"
4,"P5E2",21,"Female","R","/","/","/","Hungarian","/"
5,"P5E2",22,"Female","R","/","/","/","Hungarian","/"
6,"P5E2",21,"Female","R","/","/","/","Hungarian","/"
7,"P5E2",21,"Female","R","/","/","/","Hungarian","/"
8,"P5E2",19,"Male","L","/","/","/","Hungarian","/"
9,"P5E2",25,"Male","R","/","/","/","Hungarian","/"
10,"P5E2",25,"Male","L","/","/","/","Hungarian","/"
11,"P5E2",23,"Female","R","/","/","/","Hungarian","/"
12,"P5E2",22,"Female","L","/","/","/","Hungarian","/"
13,"P5E2",22,"Female","L","/","/","/","Hungarian","/"
14,"P5E2",22,"Male","R","/","/","/","Hungarian","/"
15,"P5E2",21,"Female","L","/","/","/","Hungarian","/"
16,"P5E2",20,"Female","R","/","/","/","Hungarian","/"
17,"P5E2",23,"Female","R","/","/","/","Hungarian","/"
18,"P5E2",23,"Female","R","/","/","/","Hungarian","/"
19,"P5E2",24,"Female","R","/","/","/","Hungarian","/"
20,"P5E2",22,"Female","R","/","/","/","Hungarian","/"
21,"P5E2",24,"Female","R","/","/","/","Hungarian","/"
22,"P5E2",21,"Female","L","/","/","/","Hungarian","/"
23,"P5E2",24,"Male","R","/","/","/","Hungarian","/"
24,"P5E2",25,"Female","R","/","/","/","Hungarian","/"
25,"P5E2",27,"Male","R","/","/","/","Hungarian","/"
26,"P5E2",31,"Female","R","/","/","/","Hungarian","/"
27,"P5E2",18,"Female","R","/","/","/","Hungarian","/"
28,"P5E2",20,"Female","R","/","/","/","Hungarian","/"
