"Pair_ID","Exp_id","P1_Age","P2_Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"P6E1",23,21,"/","/","/","/","/","/","/"
2,"P6E1",21,22,"/","/","/","/","/","/","/"
3,"P6E1",21,22,"/","/","/","/","/","/","/"
4,"P6E1",23,24,"/","/","/","/","/","/","/"
5,"P6E1",25,23,"/","/","/","/","/","/","/"
6,"P6E1",23,21,"/","/","/","/","/","/","/"
7,"P6E1",22,21,"/","/","/","/","/","/","/"
8,"P6E1",24,18,"/","/","/","/","/","/","/"
9,"P6E1",18,21,"/","/","/","/","/","/","/"
10,"P6E1",20,24,"/","/","/","/","/","/","/"
11,"P6E1",32,26,"/","/","/","/","/","/","/"
12,"P6E1",24,21,"/","/","/","/","/","/","/"
13,"P6E1",21,18,"/","/","/","/","/","/","/"
14,"P6E1",25,24,"/","/","/","/","/","/","/"
15,"P6E1",23,20,"/","/","/","/","/","/","/"
16,"P6E1",19,27,"/","/","/","/","/","/","/"
17,"P6E1",22,21,"/","/","/","/","/","/","/"
18,"P6E1",24,22,"/","/","/","/","/","/","/"
19,"P6E1",19,25,"/","/","/","/","/","/","/"
20,"P6E1",29,19,"/","/","/","/","/","/","/"
21,"P6E1",21,26,"/","/","/","/","/","/","/"
22,"P6E1",28,26,"/","/","/","/","/","/","/"
23,"P6E1",27,18,"/","/","/","/","/","/","/"
24,"P6E1",21,19,"/","/","/","/","/","/","/"
25,"P6E1",21,19,"/","/","/","/","/","/","/"
26,"P6E1",23,25,"/","/","/","/","/","/","/"
27,"P6E1",21,29,"/","/","/","/","/","/","/"
28,"P6E1",22,22,"/","/","/","/","/","/","/"
29,"P6E1",21,22,"/","/","/","/","/","/","/"
30,"P6E1",18,18,"/","/","/","/","/","/","/"
31,"P6E1",20,22,"/","/","/","/","/","/","/"
32,"P6E1",24,21,"/","/","/","/","/","/","/"
33,"P6E1",21,22,"/","/","/","/","/","/","/"
34,"P6E1",20,21,"/","/","/","/","/","/","/"
35,"P6E1",20,19,"/","/","/","/","/","/","/"
36,"P6E1",21,27,"/","/","/","/","/","/","/"
37,"P6E1",24,22,"/","/","/","/","/","/","/"
38,"P6E1",21,22,"/","/","/","/","/","/","/"
39,"P6E1",22,19,"/","/","/","/","/","/","/"
40,"P6E1",20,19,"/","/","/","/","/","/","/"
41,"P6E1",21,19,"/","/","/","/","/","/","/"
42,"P6E1",19,23,"/","/","/","/","/","/","/"
43,"P6E1",23,22,"/","/","/","/","/","/","/"
44,"P6E1",19,19,"/","/","/","/","/","/","/"
45,"P6E1",18,22,"/","/","/","/","/","/","/"
46,"P6E1",19,22,"/","/","/","/","/","/","/"
