Shape,Colour,ShapeColour,textColour,ShapeLoc,Condition,Label,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,Exclude,rt,corr,nCorr,trialinBlock,BlankFrames,Block,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,0,0,0,22,l,0,0.316843519,0,0,1,56,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,1,1,19,l,0,0.550180063,1,1,2,65,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,2,2,28,k,0,0.350509949,1,2,3,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Match,Stranger,0,3,3,25,k,0,0.383504448,0,2,4,66,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,4,4,2,l,0,0.317091052,1,3,5,56,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,0,5,5,21,l,0,0.467121964,0,3,6,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,6,6,28,k,0,0.900178366,1,4,7,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,7,7,2,l,0,0.283516213,1,5,8,63,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,0,8,8,22,l,0,0.466827056,0,5,9,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Match,Stranger,0,9,9,11,l,0,0.400445243,1,6,10,63,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Match,Self,0,10,10,18,l,0,0.35020912,1,7,11,57,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,0,11,11,3,l,0,0.416832939,1,8,12,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,0,12,12,12,k,0,0.450195776,1,9,13,59,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,13,13,19,l,0,0.366854218,1,10,14,60,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,0,14,14,3,l,0,0.466837321,1,11,15,49,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,0,15,15,7,k,0,0.36685027,1,12,16,50,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,0,16,16,5,l,0,0.366850665,0,12,17,55,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Mismatch,Stranger,0,17,17,23,l,0,0.350162929,0,12,18,67,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Match,Self,0,18,18,2,l,0,0.416847151,1,13,19,76,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,0,19,19,4,l,0,0.350198855,0,13,20,49,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,0,20,20,0,l,0,0.316836808,1,14,21,75,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Top,Mismatch,Self,0,21,21,28,k,0,0.283518187,1,15,22,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,0,22,22,31,l,0,0.38379146,0,15,23,55,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Match,Stranger,0,23,23,8,k,0,0.350173194,0,15,24,62,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Match,Stranger,0,24,24,27,k,0,0.566832268,0,15,25,74,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Top,Mismatch,Self,0,25,25,29,l,0,0.500455981,0,15,26,54,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Match,Stranger,0,26,26,26,None,1,,3,15,27,55,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,0,27,27,7,l,0,0.516851573,0,15,28,63,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,0,28,28,15,l,0,0.300184603,0,15,29,66,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,0,29,29,0,l,0,0.366845927,1,16,30,73,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,0,30,30,13,l,0,0.466834952,0,16,31,51,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Bottom,Match,Self,0,31,31,19,l,0,0.350191749,1,17,32,64,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,1,0,32,4,k,0,0.433511989,1,18,33,59,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Mismatch,Stranger,1,1,33,21,k,0,0.633510173,1,19,34,52,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,1,2,34,30,l,0,0.433523043,0,19,35,77,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Match,Stranger,1,3,35,10,k,0,0.466849954,0,19,36,69,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,1,4,36,17,l,0,0.766822951,1,20,37,60,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Top,Mismatch,Self,1,5,37,12,k,0,0.516841308,1,21,38,73,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,white,Bottom,Mismatch,Self,1,6,38,14,l,0,0.433511594,0,21,39,52,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,black,Top,Match,Self,1,7,39,17,l,0,0.483529399,1,22,40,65,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Mismatch,Stranger,1,8,40,7,k,0,0.283530425,1,23,41,48,1,R,24,F,Self = Positive,1,Russian
Stranger,Strong,OtherStrong,black,Bottom,Mismatch,Self,1,9,41,30,l,0,0.650177774,0,23,42,65,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Bottom,Mismatch,Stranger,1,10,42,6,k,0,0.766836768,1,24,43,61,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Match,Stranger,1,11,43,9,k,0,0.550174931,0,24,44,54,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Mismatch,Stranger,1,12,44,4,l,0,0.333505988,0,24,45,63,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Top,Mismatch,Stranger,1,13,45,5,k,0,0.650480577,1,25,46,48,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Bottom,Mismatch,Self,1,14,46,15,l,0,0.500181208,0,25,47,63,1,R,24,F,Self = Positive,1,Russian
Self,Light,SelfLight,white,Bottom,Match,Self,1,15,47,3,l,0,0.633483722,1,26,48,70,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,black,Bottom,Mismatch,Stranger,1,16,48,22,k,0,0.26715102,1,27,49,70,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,black,Bottom,Mismatch,Self,1,17,49,31,k,0,0.566872536,1,28,50,56,1,R,24,F,Self = Positive,1,Russian
Stranger,Light,OtherLight,white,Top,Mismatch,Self,1,18,50,13,k,0,0.483790749,1,29,51,58,1,R,24,F,Self = Positive,1,Russian
Self,Strong,SelfStrong,white,Top,Match,Self,1,19,51,0,l,0,0.38351945,1,30,52,69,1,R,24,F,Self = Positive,1,Russian
