"Subject","Group","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","Response","RT_ms","RT_sec","ACC"
"18080","2","1","1","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","925","0.925","1"
"18080","2","1","2","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","785","0.785","1"
"18080","2","1","3","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","47","467","0.467","0"
"18080","2","1","4","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","776","0.776","1"
"18080","2","1","5","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","826","0.826","1"
"18080","2","1","6","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","624","0.624","1"
"18080","2","1","7","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","47","613","0.613","1"
"18080","2","1","8","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","686","0.686","1"
"18080","2","1","9","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","915","0.915","1"
"18080","2","1","10","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","722","0.722","1"
"18080","2","1","11","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","48","596","0.596","0"
"18080","2","1","12","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","991","0.991","1"
"18080","2","1","13","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","1025","1.025","1"
"18080","2","1","14","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","1121","1.121","1"
"18080","2","1","15","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","940","0.94","1"
"18080","2","1","16","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","739","0.739","1"
"18080","2","1","17","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","579","0.579","1"
"18080","2","1","18","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","747","0.747","1"
"18080","2","1","19","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","767","0.767","1"
"18080","2","1","20","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","690","0.69","1"
"18080","2","1","21","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","566","0.566","1"
"18080","2","1","22","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","728","0.728","1"
"18080","2","1","23","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","0","1500","1.5","0"
"18080","2","1","24","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","660","0.66","1"
"18080","2","1","25","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","606","0.606","1"
"18080","2","1","26","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","48","829","0.829","0"
"18080","2","1","27","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","666","0.666","1"
"18080","2","1","28","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","1119","1.119","1"
"18080","2","1","29","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","587","0.587","1"
"18080","2","1","30","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","639","0.639","1"
"18080","2","1","31","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","47","535","0.535","1"
"18080","2","1","32","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","995","0.995","1"
"18080","2","1","33","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","662","0.662","1"
"18080","2","1","34","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","47","570","0.57","0"
"18080","2","1","35","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","47","588","0.588","0"
"18080","2","1","36","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","867","0.867","1"
"18080","2","1","37","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","47","967","0.967","1"
"18080","2","1","38","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","611","0.611","1"
"18080","2","1","39","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","645","0.645","1"
"18080","2","1","40","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","698","0.698","1"
"18080","2","1","41","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","48","996","0.996","0"
"18080","2","1","42","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","648","0.648","1"
"18080","2","1","43","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","1133","1.133","1"
"18080","2","1","44","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","48","944","0.944","0"
"18080","2","1","45","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","909","0.909","1"
"18080","2","1","46","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","1353","1.353","1"
"18080","2","1","47","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","715","0.715","1"
"18080","2","1","48","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","430","0.43","1"
"18080","2","1","49","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","591","0.591","1"
"18080","2","1","50","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","670","0.67","1"
"18080","2","1","51","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","616","0.616","1"
"18080","2","1","52","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","1102","1.102","1"
"18080","2","1","53","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","1060","1.06","1"
"18080","2","1","54","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","926","0.926","1"
"18080","2","1","55","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","620","0.62","1"
"18080","2","1","56","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","702","0.702","1"
"18080","2","1","57","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","528","0.528","1"
"18080","2","1","58","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","773","0.773","1"
"18080","2","1","59","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","853","0.853","1"
"18080","2","1","60","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","48","725","0.725","0"
"18080","2","1","61","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","630","0.63","1"
"18080","2","1","62","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","582","0.582","1"
"18080","2","1","63","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","543","0.543","1"
"18080","2","1","64","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","562","0.562","1"
"18080","2","1","65","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","919","0.919","1"
"18080","2","1","66","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","554","0.554","1"
"18080","2","1","67","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","48","1011","1.011","0"
"18080","2","1","68","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","620","0.62","1"
"18080","2","1","69","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","48","615","0.615","0"
"18080","2","1","70","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","674","0.674","1"
"18080","2","1","71","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","810","0.81","1"
"18080","2","1","72","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","683","0.683","1"
"18080","2","1","73","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","848","0.848","1"
"18080","2","1","74","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","520","0.52","1"
"18080","2","1","75","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","527","0.527","1"
"18080","2","1","76","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","806","0.806","1"
"18080","2","1","77","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","1099","1.099","1"
"18080","2","1","78","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","588","0.588","1"
"18080","2","1","79","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","625","0.625","1"
"18080","2","1","80","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","47","819","0.819","0"
"18080","2","2","1","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","742","0.742","1"
"18080","2","2","2","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","715","0.715","1"
"18080","2","2","3","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","650","0.65","1"
"18080","2","2","4","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","47","767","0.767","1"
"18080","2","2","5","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","795","0.795","1"
"18080","2","2","6","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","1078","1.078","1"
"18080","2","2","7","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","681","0.681","1"
"18080","2","2","8","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","859","0.859","1"
"18080","2","2","9","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","659","0.659","1"
"18080","2","2","10","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","736","0.736","1"
"18080","2","2","11","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","605","0.605","1"
"18080","2","2","12","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","614","0.614","1"
"18080","2","2","13","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","891","0.891","1"
"18080","2","2","14","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","727","0.727","1"
"18080","2","2","15","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","595","0.595","1"
"18080","2","2","16","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","671","0.671","1"
"18080","2","2","17","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","681","0.681","1"
"18080","2","2","18","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","47","682","0.682","0"
"18080","2","2","19","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","709","0.709","1"
"18080","2","2","20","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","47","795","0.795","1"
"18080","2","2","21","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","sad","47","788","0.788","1"
"18080","2","2","22","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","568","0.568","1"
"18080","2","2","23","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","639","0.639","1"
"18080","2","2","24","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","535","0.535","1"
"18080","2","2","25","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","48","696","0.696","0"
"18080","2","2","26","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","658","0.658","1"
"18080","2","2","27","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","sad","48","1277","1.277","1"
"18080","2","2","28","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","neutral","47","556","0.556","1"
"18080","2","2","29","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","571","0.571","1"
"18080","2","2","30","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","496","0.496","1"
"18080","2","2","31","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","1018","1.018","1"
"18080","2","2","32","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","619","0.619","1"
"18080","2","2","33","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","873","0.873","1"
"18080","2","2","34","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","881","0.881","1"
"18080","2","2","35","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","neutral","48","683","0.683","1"
"18080","2","2","36","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","957","0.957","1"
"18080","2","2","37","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","neutral","47","488","0.488","1"
"18080","2","2","38","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","350","0.35","1"
"18080","2","2","39","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","494","0.494","1"
"18080","2","2","40","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","416","0.416","1"
"18080","2","2","41","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","790","0.79","1"
"18080","2","2","42","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","1021","1.021","1"
"18080","2","2","43","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","877","0.877","1"
"18080","2","2","44","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","1035","1.035","1"
"18080","2","2","45","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","609","0.609","1"
"18080","2","2","46","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","happy","47","592","0.592","1"
"18080","2","2","47","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","801","0.801","1"
"18080","2","2","48","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","636","0.636","1"
"18080","2","2","49","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","neutral","48","1103","1.103","1"
"18080","2","2","50","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","48","980","0.98","0"
"18080","2","2","51","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","758","0.758","1"
"18080","2","2","52","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","47","502","0.502","1"
"18080","2","2","53","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","572","0.572","1"
"18080","2","2","54","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","844","0.844","1"
"18080","2","2","55","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","line","48","842","0.842","1"
"18080","2","2","56","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","line","48","914","0.914","1"
"18080","2","2","57","he.tif","friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","happy","48","738","0.738","1"
"18080","2","2","58","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","line","48","938","0.938","0"
"18080","2","2","59","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","happy","48","601","0.601","1"
"18080","2","2","60","he.tif","self","self-matching","Matching","Self","Self","Self","Self","Self","Self","line","47","618","0.618","1"
"18080","2","2","61","ve.tif","self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","sad","48","626","0.626","1"
"18080","2","2","62","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","sad","48","852","0.852","0"
"18080","2","2","63","ve.tif","friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","happy","47","634","0.634","1"
