Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,,
6201,1,21,right,male,,1,1,GoodOther.bmp,P.bmp,Goodother,moral,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,2,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,565,,,,,
6201,1,21,right,male,,1,3,BadOther.bmp,C.bmp,Goodself,immoral,other,No,k,,0,0,,,,,
6201,1,21,right,male,,1,4,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,1030,,,,,
6201,1,21,right,male,,1,5,BadSelf.bmp,S.bmp,Normalother,immoral,self,No,k,k,1,562,,,,,
6201,1,21,right,male,,1,6,GoodOther.bmp,Tra.bmp,Normalself,moral,other,No,k,k,1,751,,,,,
6201,1,21,right,male,,1,7,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,1071,,,,,
6201,1,21,right,male,,1,8,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,349,,,,,
6201,1,21,right,male,,1,9,NormalOther.bmp,D.bmp,Badself,normal,other,No,k,m,0,985,,,,,
6201,1,21,right,male,,1,10,BadSelf.bmp,C.bmp,Goodself,immoral,self,No,k,k,1,699,,,,,
6201,1,21,right,male,,1,11,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,12,GoodOther.bmp,S.bmp,Normalother,moral,other,No,k,m,0,948,,,,,
6201,1,21,right,male,,1,13,NormalOther.bmp,C.bmp,Goodself,normal,other,No,k,k,1,672,,,,,
6201,1,21,right,male,,1,14,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,421,,,,,
6201,1,21,right,male,,1,15,GoodOther.bmp,D.bmp,Badself,moral,other,No,k,k,1,753,,,,,
6201,1,21,right,male,,1,16,NormalSelf.bmp,D.bmp,Badself,normal,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,17,NormalOther.bmp,P.bmp,Goodother,normal,other,No,k,m,0,802,,,,,
6201,1,21,right,male,,1,18,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,19,GoodSelf.bmp,S.bmp,Normalother,moral,self,No,k,k,1,433,,,,,
6201,1,21,right,male,,1,20,GoodSelf.bmp,D.bmp,Badself,moral,self,No,k,k,1,590,,,,,
6201,1,21,right,male,,1,21,GoodSelf.bmp,T.bmp,Badother,moral,self,No,k,k,1,562,,,,,
6201,1,21,right,male,,1,22,GoodOther.bmp,C.bmp,Goodself,moral,other,No,k,k,1,790,,,,,
6201,1,21,right,male,,1,23,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,k,0,801,,,,,
6201,1,21,right,male,,1,24,GoodSelf.bmp,P.bmp,Goodother,moral,self,No,k,,0,0,,,,,
6201,1,21,right,male,,1,25,NormalOther.bmp,T.bmp,Badother,normal,other,No,k,k,1,714,,,,,
6201,1,21,right,male,,1,26,GoodSelf.bmp,C.bmp,Goodself,moral,self,Yes,m,k,0,878,,,,,
6201,1,21,right,male,,1,27,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,28,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,m,1,854,,,,,
6201,1,21,right,male,,1,29,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,562,,,,,
6201,1,21,right,male,,1,30,NormalSelf.bmp,P.bmp,Goodother,normal,self,No,k,k,1,390,,,,,
6201,1,21,right,male,,1,31,BadSelf.bmp,Tra.bmp,Normalself,immoral,self,No,k,m,0,931,,,,,
