Subject,Group,Task,Phase,Practice,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,CorrResponse,Response,RT_ms,ACC
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",1295,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",1294,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",942,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",1072,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",1295,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",1294,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","白栽","白栽","Filler","Filler","o","o",1236,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",1142,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",860,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",1036,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",1024,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",731,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",860,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",871,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",787,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",754,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",1083,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","地入","地入","Filler","Filler","o","o",754,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",964,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","o",742,0
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",800,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","o",800,0
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",1295,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","p",1095,0
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",1083,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",1177,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","地入","地入","Filler","Filler","o","o",824,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",636,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",1013,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",954,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","白栽","白栽","Filler","Filler","o","o",848,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",929,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",872,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",1083,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",1294,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","p",883,0
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",765,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",917,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",870,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","p",695,0
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",859,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",671,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",812,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",907,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",671,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",835,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",717,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",801,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",965,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",1071,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",752,1
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",942,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",847,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",859,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","地入","地入","Filler","Filler","o","o",683,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","p",777,0
11001,"matching-first","self-matching","00_practice","practice","Matching","circle","other","Other","Stranger","他人","他人","Other","Stranger","p","p",942,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",718,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","他人","他人","Other","Stranger","o","o",659,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","square","self","Self","Self","白栽","白栽","Filler","Filler","o","o",730,1
11001,"matching-first","self-matching","00_practice","practice","Nonmatching","circle","other","Other","Stranger","自我","自我","Self","Self","o","o",965,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",777,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",942,1
11001,"matching-first","self-matching","00_practice","practice","Matching","square","self","Self","Self","自我","自我","Self","Self","p","p",954,1
