"Subject","Block","Trial","Accent","Voice","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Matching","RT_ms","RT_sec","ACC"
9214409,1,1,"English","9197489_1.wav","friend","friend","Friend","Close","friend","Friend","Close","Matching",830,0.83,1
9214409,1,2,"English","9197489_1.wav","other","other","Stranger","Stranger","friend","Friend","Close","Nonmatching",612,0.612,1
9214409,1,3,"English","M10_2.mp3","self","self","Self","Self","self","Self","Self","Matching",863,0.863,1
9214409,1,4,"English","M5_2.mp3","self","self","Self","Self","other","Other","Stranger","Nonmatching",629,0.629,1
9214409,1,5,"English","M10_2.mp3","self","self","Self","Self","self","Self","Self","Matching",649,0.649,1
9214409,1,6,"English","M10_1.mp3","other","other","Stranger","Stranger","self","Self","Self","Nonmatching",555,0.555,1
9214409,1,7,"English","M10_1.mp3","self","self","Self","Self","self","Self","Self","Matching",834,0.834,1
9214409,1,8,"English","M5_2.mp3","other","other","Stranger","Stranger","other","Other","Stranger","Matching",578,0.578,1
9214409,1,9,"English","M5_1.mp3","other","other","Stranger","Stranger","other","Other","Stranger","Matching",634,0.634,1
9214409,1,10,"English","9197489_2.wav","friend","friend","Friend","Close","friend","Friend","Close","Matching",690,0.69,1
9214409,1,11,"English","9197489_2.wav","friend","friend","Friend","Close","friend","Friend","Close","Matching",477,0.477,1
9214409,1,12,"English","M5_2.mp3","self","self","Self","Self","other","Other","Stranger","Nonmatching",691,0.691,1
9214409,1,13,"English","M5_1.mp3","self","self","Self","Self","other","Other","Stranger","Nonmatching",934,0.934,0
9214409,1,14,"English","M10_2.mp3","friend","friend","Friend","Close","self","Self","Self","Nonmatching",728,0.728,1
9214409,1,15,"English","9197489_1.wav","friend","friend","Friend","Close","friend","Friend","Close","Matching",531,0.531,1
9214409,1,16,"English","M5_1.mp3","other","other","Stranger","Stranger","other","Other","Stranger","Matching",978,0.978,0
9214409,1,17,"English","9197489_1.wav","other","other","Stranger","Stranger","friend","Friend","Close","Nonmatching",766,0.766,1
9214409,1,18,"English","M10_2.mp3","friend","friend","Friend","Close","self","Self","Self","Nonmatching",851,0.851,1
9214409,1,19,"English","9197489_1.wav","self","self","Self","Self","friend","Friend","Close","Nonmatching",1091,1.091,0
9214409,1,20,"English","9197489_1.wav","friend","friend","Friend","Close","friend","Friend","Close","Matching",833,0.833,1
