prolific,build,computer.platform,date,time,subject,group,SubGender,SubAge,SubEthnicity,SubHand,FriendYear,FriendFamiliar,FriendMeetfreq,FriendMeetTime,Con_match,Cue,Con_shape,Con_label,Con_emotion,Stim_Content,tasktype,nblock,TrialID,response,latency,correct,cres
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,self,friend,,2.tif,SAT,1,1,48,1323,0,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,neutral,friend,friend,,1.tif,SAT,1,2,47,1137,0,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,self,stranger,,2.tif,SAT,1,3,47,989,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,neutral,stranger,stranger,,3.tif,SAT,1,4,47,604,0,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,neutral,stranger,stranger,,3.tif,SAT,1,5,48,952,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,neutral,stranger,stranger,,3.tif,SAT,1,6,48,703,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,sad,stranger,stranger,,3.tif,SAT,1,7,48,1101,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,neutral,self,self,,2.tif,SAT,1,8,48,743,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,stranger,friend,,3.tif,SAT,1,9,47,803,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,stranger,self,,3.tif,SAT,1,10,0,1500,0,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,sad,self,self,,2.tif,SAT,1,11,48,773,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,friend,self,,1.tif,SAT,1,12,47,656,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,stranger,self,,3.tif,SAT,1,13,48,628,0,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,self,stranger,,2.tif,SAT,1,14,47,1033,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,self,friend,,2.tif,SAT,1,15,47,998,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,neutral,friend,stranger,,1.tif,SAT,1,16,48,1143,0,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,sad,friend,friend,,1.tif,SAT,1,17,47,916,0,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,sad,friend,friend,,1.tif,SAT,1,18,48,745,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,match,sad,stranger,stranger,,3.tif,SAT,1,19,48,786,1,b
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,friend,stranger,,1.tif,SAT,1,20,47,870,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,self,friend,,2.tif,SAT,1,21,47,931,1,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,friend,self,,1.tif,SAT,1,22,48,437,0,v
,6.3.1,win,2020-11-21,13:35:45,18124,1,Female,22,4,Right,2.5,6,5,weekly,unmatch,sad,stranger,friend,,3.tif,SAT,1,23,47,853,1,v
