"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
23061227,"Pt27E2",20,"Female","R","/","/","/","/","/"
23334772,"Pt27E2",21,"Male","R","/","/","/","/","/"
23835869,"Pt27E2",20,"Female","R","/","/","/","/","/"
24408280,"Pt27E2",21,"Female","R","/","/","/","/","/"
24418398,"Pt27E2",21,"Male","L","/","/","/","/","/"
24418581,"Pt27E2",20,"Female","R","/","/","/","/","/"
26619665,"Pt27E2",18,"Female","R","/","/","/","/","/"
2832782,"Pt27E2",22,"Female","R","/","/","/","/","/"
48129636,"Pt27E2",20,"Female","R","/","/","/","/","/"
48156899,"Pt27E2",20,"Female","R","/","/","/","/","/"
48261328,"Pt27E2",21,"Female","R","/","/","/","/","/"
48699889,"Pt27E2",28,"Female","R","/","/","/","/","/"
48702114,"Pt27E2",21,"Male","R","/","/","/","/","/"
48742438,"Pt27E2",21,"Female","R","/","/","/","/","/"
48743215,"Pt27E2",23,"Male","R","/","/","/","/","/"
48744831,"Pt27E2",18,"Female","R","/","/","/","/","/"
48755705,"Pt27E2",20,"Male","R","/","/","/","/","/"
48791497,"Pt27E2",19,"Female","R","/","/","/","/","/"
48840021,"Pt27E2",19,"Female","R","/","/","/","/","/"
48845508,"Pt27E2",23,"Female","R","/","/","/","/","/"
48848108,"Pt27E2",19,"Female","R","/","/","/","/","/"
49183336,"Pt27E2",21,"Female","R","/","/","/","/","/"
49196800,"Pt27E2",19,"Female","R","/","/","/","/","/"
49198247,"Pt27E2",19,"Female","R","/","/","/","/","/"
49273693,"Pt27E2",19,"Female","R","/","/","/","/","/"
49276164,"Pt27E2",20,"Female","R","/","/","/","/","/"
49338547,"Pt27E2",19,"Female","R","/","/","/","/","/"
5390520,"Pt27E2",18,"Female","R","/","/","/","/","/"
54809786,"Pt27E2",21,"Female","R","/","/","/","/","/"
55140937,"Pt27E2",19,"Female","R","/","/","/","/","/"
6121887,"Pt27E2",17,"Female","R","/","/","/","/","/"
9341983,"Pt27E2",21,"Female","R","/","/","/","/","/"
