Subject,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,CorrResponse,Response,RT_ms,RT_sec,ACC
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,z,790,0.79,0
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,2026,2.026,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,1476,1.476,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,1204,1.204,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,m,z,1320,1.32,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,m,z,663,0.663,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,623,0.623,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,746,0.746,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,872,0.872,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,1048,1.048,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,801,0.801,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,533,0.533,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,699,0.699,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,914,0.914,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,1466,1.466,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,1058,1.058,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,883,0.883,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,675,0.675,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,964,0.964,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,857,0.857,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,962,0.962,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,1175,1.175,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,819,0.819,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,566,0.566,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,891,0.891,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,1139,1.139,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,873,0.873,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,618,0.618,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,917,0.917,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,1060,1.06,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,757,0.757,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,730,0.73,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,m,z,920,0.92,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,695,0.695,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,663,0.663,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,712,0.712,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,983,0.983,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,675,0.675,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,868,0.868,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,876,0.876,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,z,693,0.693,0
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,1468,1.468,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,885,0.885,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,1077,1.077,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,1606,1.606,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,697,0.697,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,856,0.856,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,729,0.729,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,712,0.712,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,1447,1.447,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,1048,1.048,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,802,0.802,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,677,0.677,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,550,0.55,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,723,0.723,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,922,0.922,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,809,0.809,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,1700,1.7,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,947,0.947,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,937,0.937,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,583,0.583,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,1363,1.363,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,1375,1.375,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,865,0.865,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,1561,1.561,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,878,0.878,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,526,0.526,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,1268,1.268,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,m,z,716,0.716,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,1107,1.107,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,626,0.626,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,836,0.836,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,663,0.663,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,776,0.776,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,1012,1.012,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,z,z,791,0.791,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,779,0.779,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,1224,1.224,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,818,0.818,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,997,0.997,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,784,0.784,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,m,m,820,0.82,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,799,0.799,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,713,0.713,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,z,m,696,0.696,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,z,z,840,0.84,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,842,0.842,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,1188,1.188,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,792,0.792,1
1,self-matching,Nonmatching,square.bmp,Stranger,Stranger,Stranger,m,m,1012,1.012,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,695,0.695,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,758,0.758,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,1444,1.444,1
1,self-matching,Matching,circle.bmp,Close,Close,Close,m,z,885,0.885,1
1,self-matching,Matching,triangle.bmp,Father,Father,Close,m,z,613,0.613,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,m,m,568,0.568,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,m,z,701,0.701,1
1,self-matching,Nonmatching,circle.bmp,Close,Close,Close,z,m,1540,1.54,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,826,0.826,1
1,self-matching,Nonmatching,triangle.bmp,Father,Father,Close,z,m,613,0.613,1
1,self-matching,Matching,square.bmp,Stranger,Stranger,Stranger,z,z,728,0.728,1
