"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"9503","Navon_2021_psyarxiv_Exp2","29","Male","R","/","/","/","Hebrew","/"
"1","Navon_2021_psyarxiv_Exp2","25","Female","R","/","/","/","Hebrew","/"
"2","Navon_2021_psyarxiv_Exp2","23","Female","R","/","/","/","Hebrew","/"
"3","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"5701","Navon_2021_psyarxiv_Exp2","23","Female","R","/","/","/","Hebrew","/"
"5704","Navon_2021_psyarxiv_Exp2","30","Female","R","/","/","/","Hebrew","/"
"5711","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"5718","Navon_2021_psyarxiv_Exp2","36","Female","L","/","/","/","Hebrew","/"
"5801","Navon_2021_psyarxiv_Exp2","26","Female","R","/","/","/","Hebrew","/"
"5802","Navon_2021_psyarxiv_Exp2","22","Female","R","/","/","/","Hebrew","/"
"5811","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"5820","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"5821","Navon_2021_psyarxiv_Exp2","22","Female","R","/","/","/","Hebrew","/"
"6003","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"9410","Navon_2021_psyarxiv_Exp2","25","Female","R","/","/","/","Hebrew","/"
"9501","Navon_2021_psyarxiv_Exp2","24","Female","R","/","/","/","Hebrew","/"
"9504","Navon_2021_psyarxiv_Exp2","27","Female","R","/","/","/","Hebrew","/"
"9505","Navon_2021_psyarxiv_Exp2","23","Female","R","/","/","/","Hebrew","/"
"9507","Navon_2021_psyarxiv_Exp2","25","Female","R","/","/","/","Hebrew","/"
"9509","Navon_2021_psyarxiv_Exp2","28","Female","R","/","/","/","Hebrew","/"
"9515","Navon_2021_psyarxiv_Exp2","34","Female","R","/","/","/","Hebrew","/"
"5702","Navon_2021_psyarxiv_Exp2","26","Male","R","/","/","/","Hebrew","/"
"5708","Navon_2021_psyarxiv_Exp2","24","Male","R","/","/","/","Hebrew","/"
"5710","Navon_2021_psyarxiv_Exp2","27","Male","R","/","/","/","Hebrew","/"
"5816","Navon_2021_psyarxiv_Exp2","26","Male","R","/","/","/","Hebrew","/"
"5818","Navon_2021_psyarxiv_Exp2","20","Male","R","/","/","/","Hebrew","/"
"9407","Navon_2021_psyarxiv_Exp2","23","Male","R","/","/","/","Hebrew","/"
