"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
29,"Orellana-Corrales_2020_ExpPsych_Exp2","24","Female","right","/","/","/","/","/"
30,"Orellana-Corrales_2020_ExpPsych_Exp2","26","Male","right","/","/","/","/","/"
31,"Orellana-Corrales_2020_ExpPsych_Exp2","22","Male","right","/","/","/","/","/"
32,"Orellana-Corrales_2020_ExpPsych_Exp2","27","Female","right","/","/","/","/","/"
33,"Orellana-Corrales_2020_ExpPsych_Exp2","26","Female","right","/","/","/","/","/"
1,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
10,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
11,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
12,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
13,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
15,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
16,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
17,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
18,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
19,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
2,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
20,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
21,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
22,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
23,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
24,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
25,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
26,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
27,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
28,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
3,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
4,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
5,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
6,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
7,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
8,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
9,"Orellana-Corrales_2020_ExpPsych_Exp2","/","/","/","/","/","/","/","/"
