"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
1,1,1,"Kreis.png","Fremder","Matching",0,1288,"k","d","L2m","Ass1"
1,2,1,"Dreieck.png","Ich","Matching",1,529,"d","d","L1m","Ass1"
1,3,1,"Dreieck.png","Fremder","Nonmatching",1,777,"k","k","L2n","Ass1"
1,4,1,"Kreis.png","Ich","Nonmatching",0,712,"d","k","L1n","Ass1"
1,5,2,"Kreis.png","Fremder","Matching",0,641,"k","d","L2m","Ass1"
1,6,2,"Dreieck.png","Ich","Matching",1,4263,"d","d","L1m","Ass1"
1,7,2,"Kreis.png","Ich","Nonmatching",1,886,"k","k","L1n","Ass1"
1,8,2,"Dreieck.png","Fremder","Nonmatching",1,1018,"k","k","L2n","Ass1"
1,9,3,"Kreis.png","Ich","Nonmatching",1,1445,"k","k","L1n","Ass1"
1,10,3,"Dreieck.png","Ich","Matching",1,538,"d","d","L1m","Ass1"
1,11,3,"Kreis.png","Fremder","Matching",1,998,"d","d","L2m","Ass1"
1,12,3,"Dreieck.png","Fremder","Nonmatching",1,1267,"k","k","L2n","Ass1"
1,13,4,"Dreieck.png","Ich","Matching",1,608,"d","d","L1m","Ass1"
1,14,4,"Kreis.png","Ich","Nonmatching",1,815,"k","k","L1n","Ass1"
1,15,4,"Dreieck.png","Fremder","Nonmatching",1,752,"k","k","L2n","Ass1"
1,16,4,"Kreis.png","Fremder","Matching",1,1556,"d","d","L2m","Ass1"
1,17,5,"Kreis.png","Ich","Nonmatching",1,1047,"k","k","L1n","Ass1"
1,18,5,"Dreieck.png","Fremder","Nonmatching",1,713,"k","k","L2n","Ass1"
1,19,5,"Kreis.png","Fremder","Matching",1,1243,"d","d","L2m","Ass1"
1,20,5,"Dreieck.png","Ich","Matching",1,1058,"d","d","L1m","Ass1"
1,21,6,"Kreis.png","Fremder","Matching",1,955,"d","d","L2m","Ass1"
1,22,6,"Kreis.png","Ich","Nonmatching",1,664,"k","k","L1n","Ass1"
1,23,6,"Dreieck.png","Fremder","Nonmatching",1,914,"k","k","L2n","Ass1"
1,24,6,"Dreieck.png","Ich","Matching",1,884,"d","d","L1m","Ass1"
1,25,7,"Dreieck.png","Ich","Matching",1,950,"d","d","L1m","Ass1"
1,26,7,"Kreis.png","Fremder","Matching",1,744,"d","d","L2m","Ass1"
1,27,7,"Dreieck.png","Fremder","Nonmatching",1,590,"k","k","L2n","Ass1"
1,28,7,"Kreis.png","Ich","Nonmatching",1,543,"k","k","L1n","Ass1"
1,29,8,"Kreis.png","Ich","Nonmatching",1,629,"k","k","L1n","Ass1"
1,30,8,"Dreieck.png","Ich","Matching",1,944,"d","d","L1m","Ass1"
1,31,8,"Kreis.png","Fremder","Matching",1,792,"d","d","L2m","Ass1"
1,32,8,"Dreieck.png","Fremder","Nonmatching",1,974,"k","k","L2n","Ass1"
1,33,9,"Kreis.png","Fremder","Matching",1,1118,"d","d","L2m","Ass1"
1,34,9,"Dreieck.png","Ich","Matching",1,531,"d","d","L1m","Ass1"
1,35,9,"Dreieck.png","Fremder","Nonmatching",1,1392,"k","k","L2n","Ass1"
1,36,9,"Kreis.png","Ich","Nonmatching",1,1464,"k","k","L1n","Ass1"
1,37,10,"Dreieck.png","Fremder","Nonmatching",1,1318,"k","k","L2n","Ass1"
1,38,10,"Dreieck.png","Ich","Matching",1,527,"d","d","L1m","Ass1"
1,39,10,"Kreis.png","Fremder","Matching",0,878,"k","d","L2m","Ass1"
1,40,10,"Kreis.png","Ich","Nonmatching",1,913,"k","k","L1n","Ass1"
1,41,11,"Dreieck.png","Fremder","Nonmatching",1,1197,"k","k","L2n","Ass1"
1,42,11,"Dreieck.png","Ich","Matching",1,629,"d","d","L1m","Ass1"
1,43,11,"Kreis.png","Fremder","Matching",1,1371,"d","d","L2m","Ass1"
1,44,11,"Kreis.png","Ich","Nonmatching",1,726,"k","k","L1n","Ass1"
1,45,12,"Dreieck.png","Fremder","Nonmatching",1,547,"k","k","L2n","Ass1"
1,46,12,"Kreis.png","Fremder","Matching",1,1174,"d","d","L2m","Ass1"
1,47,12,"Kreis.png","Ich","Nonmatching",1,558,"k","k","L1n","Ass1"
1,48,12,"Dreieck.png","Ich","Matching",1,454,"d","d","L1m","Ass1"
1,49,13,"Dreieck.png","Ich","Matching",1,798,"d","d","L1m","Ass1"
1,50,13,"Kreis.png","Fremder","Matching",1,737,"d","d","L2m","Ass1"
1,51,13,"Kreis.png","Ich","Nonmatching",1,547,"k","k","L1n","Ass1"
1,52,13,"Dreieck.png","Fremder","Nonmatching",1,849,"k","k","L2n","Ass1"
1,53,14,"Kreis.png","Ich","Nonmatching",1,927,"k","k","L1n","Ass1"
1,54,14,"Dreieck.png","Fremder","Nonmatching",1,613,"k","k","L2n","Ass1"
1,55,14,"Dreieck.png","Ich","Matching",1,545,"d","d","L1m","Ass1"
1,56,14,"Kreis.png","Fremder","Matching",1,630,"d","d","L2m","Ass1"
1,57,15,"Kreis.png","Fremder","Matching",1,1201,"d","d","L2m","Ass1"
1,58,15,"Dreieck.png","Ich","Matching",1,428,"d","d","L1m","Ass1"
1,59,15,"Dreieck.png","Fremder","Nonmatching",1,578,"k","k","L2n","Ass1"
1,60,15,"Kreis.png","Ich","Nonmatching",1,556,"k","k","L1n","Ass1"
1,61,16,"Kreis.png","Ich","Nonmatching",1,790,"k","k","L1n","Ass1"
