"Subject","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
"1","1","Kreis.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","2298","2.298","0"
"1","2","Dreieck.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","3343","3.343","1"
"1","3","Dreieck.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","916","0.916","1"
"1","4","Kreis.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","1222","1.222","1"
"1","5","Kreis.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","1219","1.219","1"
"1","6","Kreis.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","1185","1.185","1"
"1","7","Dreieck.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","1115","1.115","1"
"1","8","Dreieck.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","781","0.781","1"
"1","9","Kreis.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","1718","1.718","1"
"1","10","Kreis.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","1469","1.469","1"
"1","11","Dreieck.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","903","0.903","1"
"1","12","Dreieck.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","1918","1.918","1"
"1","13","Dreieck.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","739","0.739","1"
"1","14","Dreieck.png","Fremder","self-matching","Nonmatching","Fremder","Stranger","Stranger","Ich","Self","Self","1478","1.478","1"
"1","15","Kreis.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","929","0.929","1"
"1","16","Kreis.png","Fremder","self-matching","Matching","Fremder","Stranger","Stranger","Fremder","Stranger","Stranger","1252","1.252","1"
"1","17","Dreieck.png","Ich","self-matching","Matching","Ich","Self","Self","Ich","Self","Self","958","0.958","1"
"1","18","Kreis.png","Ich","self-matching","Nonmatching","Ich","Self","Self","Fremder","Stranger","Stranger","816","0.816","1"
