"Subject","Trial","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","RT_ms","RT_sec","ACC"
"2","1","self-matching","Nonmatching","Fremder","Stranger","Stranger","1567","1.567","1"
"2","2","self-matching","Nonmatching","Ich","Self","Self","1601","1.601","1"
"2","3","self-matching","Matching","Fremder","Stranger","Stranger","1230","1.23","1"
"2","4","self-matching","Matching","Ich","Self","Self","879","0.879","1"
"2","5","self-matching","Matching","Ich","Self","Self","1022","1.022","1"
"2","6","self-matching","Nonmatching","Ich","Self","Self","753","0.753","1"
"2","7","self-matching","Nonmatching","Fremder","Stranger","Stranger","1312","1.312","1"
"2","8","self-matching","Matching","Fremder","Stranger","Stranger","1519","1.519","1"
"2","9","self-matching","Nonmatching","Fremder","Stranger","Stranger","1240","1.24","1"
"2","10","self-matching","Nonmatching","Ich","Self","Self","825","0.825","0"
"2","11","self-matching","Matching","Fremder","Stranger","Stranger","1238","1.238","1"
"2","12","self-matching","Matching","Ich","Self","Self","810","0.81","1"
"2","13","self-matching","Matching","Fremder","Stranger","Stranger","925","0.925","0"
"2","14","self-matching","Matching","Ich","Self","Self","834","0.834","1"
"2","15","self-matching","Nonmatching","Ich","Self","Self","635","0.635","1"
"2","16","self-matching","Nonmatching","Fremder","Stranger","Stranger","563","0.563","0"
"2","17","self-matching","Matching","Fremder","Stranger","Stranger","1031","1.031","1"
"2","18","self-matching","Nonmatching","Fremder","Stranger","Stranger","1071","1.071","1"
"2","19","self-matching","Nonmatching","Ich","Self","Self","1053","1.053","1"
"2","20","self-matching","Matching","Ich","Self","Self","722","0.722","1"
"2","21","self-matching","Matching","Fremder","Stranger","Stranger","965","0.965","1"
"2","22","self-matching","Matching","Ich","Self","Self","793","0.793","1"
"2","23","self-matching","Nonmatching","Ich","Self","Self","837","0.837","1"
"2","24","self-matching","Nonmatching","Fremder","Stranger","Stranger","1333","1.333","1"
"2","25","self-matching","Matching","Ich","Self","Self","962","0.962","1"
