"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"true","false","[]","[]","[]","preload","0","10","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","4551","0.0-1.0","4541","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","z","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","5357","0.0-2.0-0.0","806","
      <p>本实验首先需要您填写一些基本个人信息。</p>
      <p> <div style = ""color: green""><按任意键至下页></div></p>
      ","z","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","5358","0.0-2.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","11005","0.0-2.0-2.0","5647","","{""Q0"":""1019""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","11757","0.0-2.0-3.0","751","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","16651","0.0-2.0-4.0","4893","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","18715","0.0-2.0-5.0","2063","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","77343","0.0-3.0","58626","","","","85.6","53.98","371.5513957182516","4.338284762505722","659.08","7.431027914365032","50","0.9473790276565736","23.7","11.96","","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","79449","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
