"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"P54E1",20,"Female","R","/","/","/","/","/"
13,"P54E1",22,"Female","R","/","/","/","/","/"
17,"P54E1",26,"Female","R","/","/","/","/","/"
21,"P54E1",19,"Female","R","/","/","/","/","/"
25,"P54E1",20,"Female","R","/","/","/","/","/"
29,"P54E1",22,"Male","R","/","/","/","/","/"
5,"P54E1",23,"Female","R","/","/","/","/","/"
9,"P54E1",20,"Female","R","/","/","/","/","/"
10,"P54E1",20,"Female","R","/","/","/","/","/"
14,"P54E1",22,"Female","R","/","/","/","/","/"
18,"P54E1",25,"Female","R","/","/","/","/","/"
2,"P54E1",21,"Female","L","/","/","/","/","/"
22,"P54E1",19,"Female","R","/","/","/","/","/"
26,"P54E1",39,"Female","R","/","/","/","/","/"
30,"P54E1",19,"Female","R","/","/","/","/","/"
6,"P54E1",0,"Female","R","/","/","/","/","/"
11,"P54E1",21,"Female","R","/","/","/","/","/"
15,"P54E1",20,"Male","R","/","/","/","/","/"
19,"P54E1",24,"Female","R","/","/","/","/","/"
23,"P54E1",24,"Female","R","/","/","/","/","/"
27,"P54E1",21,"Female","R","/","/","/","/","/"
3,"P54E1",20,"Male","R","/","/","/","/","/"
31,"P54E1",23,"Female","R","/","/","/","/","/"
7,"P54E1",21,"Female","R","/","/","/","/","/"
12,"P54E1",22,"Female","R","/","/","/","/","/"
16,"P54E1",32,"Male","R","/","/","/","/","/"
20,"P54E1",21,"Female","R","/","/","/","/","/"
24,"P54E1",18,"Female","R","/","/","/","/","/"
28,"P54E1",19,"Female","R","/","/","/","/","/"
32,"P54E1",20,"Female","R","/","/","/","/","/"
4,"P54E1",20,"Female","R","/","/","/","/","/"
8,"P54E1",19,"Female","R","/","/","/","/","/"
