"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
12,"Pt18E1","/","/","/","/","/","/","/","/"
1,"Pt18E1","/","/","/","/","/","/","/","/"
16,"Pt18E1","/","/","/","/","/","/","/","/"
19,"Pt18E1","/","/","/","/","/","/","/","/"
17,"Pt18E1","/","/","/","/","/","/","/","/"
11,"Pt18E1","/","/","/","/","/","/","/","/"
9,"Pt18E1","/","/","/","/","/","/","/","/"
18,"Pt18E1","/","/","/","/","/","/","/","/"
6,"Pt18E1","/","/","/","/","/","/","/","/"
8,"Pt18E1","/","/","/","/","/","/","/","/"
3,"Pt18E1","/","/","/","/","/","/","/","/"
5,"Pt18E1","/","/","/","/","/","/","/","/"
15,"Pt18E1","/","/","/","/","/","/","/","/"
20,"Pt18E1","/","/","/","/","/","/","/","/"
7,"Pt18E1","/","/","/","/","/","/","/","/"
2,"Pt18E1","/","/","/","/","/","/","/","/"
13,"Pt18E1","/","/","/","/","/","/","/","/"
4,"Pt18E1","/","/","/","/","/","/","/","/"
10,"Pt18E1","/","/","/","/","/","/","/","/"
14,"Pt18E1","/","/","/","/","/","/","/","/"
