"Subject","Trial","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","RT_sec","ACC"
"995543569","5","self-matching","Nonmatching","self","Self","Self","968","0.968","1"
"995543569","7","self-matching","Matching","friend","Friend","Close","1116","1.116","0"
"995543569","9","self-matching","Nonmatching","friend","Friend","Close","1024","1.024","0"
"995543569","11","self-matching","Matching","friend","Friend","Close","954","0.954","1"
"995543569","13","self-matching","Nonmatching","friend","Friend","Close","865","0.865","1"
"995543569","15","self-matching","Matching","friend","Friend","Close","1046","1.046","1"
"995543569","17","self-matching","Nonmatching","self","Self","Self","582","0.582","1"
"995543569","19","self-matching","Nonmatching","friend","Friend","Close","545","0.545","0"
"995543569","21","self-matching","Nonmatching","self","Self","Self","802","0.802","1"
"995543569","23","self-matching","Nonmatching","self","Self","Self","966","0.966","1"
"995543569","27","self-matching","Matching","friend","Friend","Close","663","0.663","1"
"995543569","29","self-matching","Nonmatching","self","Self","Self","781","0.781","1"
"995543569","31","self-matching","Matching","self","Self","Self","742","0.742","1"
"995543569","33","self-matching","Matching","self","Self","Self","736","0.736","1"
"995543569","35","self-matching","Matching","self","Self","Self","415","0.415","1"
"995543569","37","self-matching","Nonmatching","friend","Friend","Close","545","0.545","0"
"995543569","39","self-matching","Matching","self","Self","Self","513","0.513","1"
"995543569","41","self-matching","Matching","friend","Friend","Close","761","0.761","0"
"995543569","43","self-matching","Matching","friend","Friend","Close","1146","1.146","1"
"995543569","45","self-matching","Matching","friend","Friend","Close","822","0.822","1"
"995543569","47","self-matching","Matching","self","Self","Self","538","0.538","1"
"995543569","49","self-matching","Matching","self","Self","Self","599","0.599","1"
"995543569","51","self-matching","Matching","friend","Friend","Close","826","0.826","1"
"995543569","53","self-matching","Nonmatching","friend","Friend","Close","657","0.657","1"
"995543569","55","self-matching","Nonmatching","self","Self","Self","1105","1.105","1"
"995543569","59","self-matching","Nonmatching","friend","Friend","Close","844","0.844","1"
