"Subject","Trial","Block","Shape","ShapeIdentity","Matching","ACC","RT_ms","resp_type"
34,1,1,"square","stranger","Nonmatching",1,624,"correct"
34,2,1,"square","stranger","Matching",0,457,"incorrect"
34,3,1,"circle","you","Nonmatching",0,434,"incorrect"
34,4,1,"circle","you","Matching",1,780,"correct"
34,5,1,"square","stranger","Nonmatching",1,664,"correct"
34,6,1,"square","stranger","Matching",0,745,"incorrect"
34,7,1,"circle","you","Nonmatching",1,843,"correct"
34,8,1,"circle","you","Matching",1,560,"correct"
34,9,1,"square","stranger","Matching",1,766,"correct"
34,10,1,"square","stranger","Nonmatching",1,711,"correct"
34,11,1,"circle","you","Matching",1,587,"correct"
34,12,1,"circle","you","Nonmatching",1,592,"correct"
34,13,1,"square","stranger","Matching",1,919,"correct"
34,14,1,"square","stranger","Nonmatching",1,633,"correct"
34,15,1,"circle","you","Nonmatching",1,582,"correct"
34,16,1,"circle","you","Matching",1,727,"correct"
34,17,1,"square","stranger","Nonmatching",1,471,"correct"
34,18,1,"circle","you","Nonmatching",1,900,"correct"
34,19,1,"square","stranger","Matching",0,909,"incorrect"
34,20,1,"circle","you","Matching",1,616,"correct"
34,21,1,"circle","you","Nonmatching",1,676,"correct"
34,22,1,"square","stranger","Nonmatching",1,663,"correct"
34,23,1,"circle","you","Matching",1,803,"correct"
34,24,1,"square","stranger","Matching",0,558,"incorrect"
34,25,1,"circle","you","Nonmatching",0,710,"incorrect"
34,26,1,"square","stranger","Nonmatching",1,904,"correct"
34,27,1,"circle","you","Matching",1,947,"correct"
34,28,1,"square","stranger","Matching",0,542,"incorrect"
34,29,1,"square","stranger","Nonmatching",0,798,"incorrect"
34,30,1,"square","stranger","Matching",0,549,"incorrect"
34,31,1,"circle","you","Matching",1,652,"correct"
34,32,1,"circle","you","Nonmatching",1,898,"correct"
34,33,1,"square","stranger","Nonmatching",1,946,"correct"
34,34,1,"circle","you","Matching",1,769,"correct"
34,35,1,"square","stranger","Matching",0,544,"incorrect"
34,36,1,"circle","you","Nonmatching",NA,NA,"missed"
34,37,1,"circle","you","Matching",1,793,"correct"
34,38,1,"square","stranger","Matching",0,795,"incorrect"
34,39,1,"circle","you","Nonmatching",1,716,"correct"
34,40,1,"square","stranger","Nonmatching",1,813,"correct"
34,41,1,"circle","you","Matching",1,516,"correct"
34,42,1,"circle","you","Nonmatching",1,711,"correct"
34,43,1,"square","stranger","Matching",1,834,"correct"
34,44,1,"square","stranger","Nonmatching",1,892,"correct"
34,45,1,"square","stranger","Nonmatching",1,654,"correct"
34,46,1,"circle","you","Nonmatching",1,885,"correct"
34,47,1,"circle","you","Matching",1,623,"correct"
34,48,1,"square","stranger","Matching",0,581,"incorrect"
34,49,1,"circle","you","Matching",1,789,"correct"
34,50,1,"square","stranger","Matching",0,603,"incorrect"
34,51,1,"square","stranger","Nonmatching",1,667,"correct"
34,52,1,"circle","you","Nonmatching",NA,NA,"missed"
34,53,1,"square","stranger","Nonmatching",NA,NA,"missed"
34,54,1,"circle","you","Matching",1,495,"correct"
34,55,1,"square","stranger","Matching",0,527,"incorrect"
34,56,1,"circle","you","Nonmatching",1,858,"correct"
34,57,1,"circle","you","Matching",1,966,"correct"
34,58,1,"circle","you","Nonmatching",1,1028,"correct"
34,59,1,"square","stranger","Matching",0,650,"incorrect"
34,60,1,"square","stranger","Nonmatching",0,1038,"incorrect"
34,61,1,"square","stranger","Matching",0,521,"incorrect"
34,62,1,"square","stranger","Nonmatching",1,787,"correct"
34,63,1,"circle","you","Matching",1,438,"correct"
34,64,1,"circle","you","Nonmatching",1,659,"correct"
34,65,1,"circle","you","Nonmatching",0,551,"incorrect"
34,66,1,"square","stranger","Matching",0,451,"incorrect"
34,67,1,"square","stranger","Nonmatching",1,908,"correct"
34,68,1,"circle","you","Matching",1,996,"correct"
34,69,1,"square","stranger","Nonmatching",1,624,"correct"
34,70,1,"square","stranger","Matching",0,889,"incorrect"
34,71,1,"circle","you","Nonmatching",NA,NA,"missed"
34,72,1,"circle","you","Matching",1,793,"correct"
34,73,1,"square","stranger","Matching",0,586,"incorrect"
34,74,1,"circle","you","Nonmatching",1,591,"correct"
34,75,1,"square","stranger","Nonmatching",0,512,"incorrect"
34,76,1,"circle","you","Matching",1,640,"correct"
34,77,1,"square","stranger","Nonmatching",1,550,"correct"
34,78,1,"circle","you","Nonmatching",0,833,"incorrect"
34,79,1,"circle","you","Matching",0,854,"incorrect"
34,80,1,"square","stranger","Matching",NA,NA,"missed"
34,81,1,"square","stranger","Matching",0,671,"incorrect"
34,82,1,"circle","you","Nonmatching",NA,NA,"missed"
34,83,1,"circle","you","Matching",0,733,"incorrect"
34,84,1,"square","stranger","Nonmatching",1,628,"correct"
34,85,1,"square","stranger","Nonmatching",1,1024,"correct"
34,86,1,"circle","you","Matching",1,673,"correct"
34,87,1,"circle","you","Nonmatching",1,761,"correct"
34,88,1,"square","stranger","Matching",1,961,"correct"
34,89,1,"square","stranger","Matching",0,736,"incorrect"
34,90,1,"square","stranger","Nonmatching",0,712,"incorrect"
34,91,1,"circle","you","Nonmatching",1,861,"correct"
34,92,1,"circle","you","Matching",1,971,"correct"
34,93,1,"square","stranger","Matching",0,620,"incorrect"
34,94,1,"circle","you","Matching",1,518,"correct"
34,95,1,"square","stranger","Nonmatching",NA,NA,"missed"
34,96,1,"circle","you","Nonmatching",1,769,"correct"
34,97,1,"square","stranger","Nonmatching",1,742,"correct"
34,98,1,"circle","you","Matching",1,533,"correct"
34,99,1,"circle","you","Nonmatching",1,709,"correct"
34,100,1,"square","stranger","Matching",1,613,"correct"
34,101,1,"circle","you","Nonmatching",1,691,"correct"
34,102,1,"square","stranger","Nonmatching",1,597,"correct"
34,103,1,"circle","you","Matching",1,818,"correct"
34,104,1,"square","stranger","Matching",0,816,"incorrect"
34,105,1,"square","stranger","Nonmatching",1,783,"correct"
34,106,1,"circle","you","Matching",1,606,"correct"
34,107,1,"circle","you","Nonmatching",1,656,"correct"
34,108,1,"square","stranger","Matching",0,659,"incorrect"
34,109,1,"square","stranger","Nonmatching",1,732,"correct"
34,110,1,"square","stranger","Matching",0,825,"incorrect"
34,111,1,"circle","you","Nonmatching",0,792,"incorrect"
34,112,1,"circle","you","Matching",1,664,"correct"
34,113,1,"square","stranger","Matching",0,732,"incorrect"
34,114,1,"circle","you","Nonmatching",0,709,"incorrect"
34,115,1,"circle","you","Matching",1,628,"correct"
34,116,1,"square","stranger","Nonmatching",1,659,"correct"
34,117,1,"square","stranger","Nonmatching",1,810,"correct"
34,118,1,"circle","you","Nonmatching",0,880,"incorrect"
34,119,1,"circle","you","Matching",1,702,"correct"
34,120,1,"square","stranger","Matching",0,541,"incorrect"
34,121,2,"square","stranger","Matching",1,697,"correct"
34,122,2,"circle","you","Nonmatching",1,755,"correct"
34,123,2,"circle","you","Matching",1,645,"correct"
34,124,2,"square","stranger","Nonmatching",1,897,"correct"
34,125,2,"circle","you","Nonmatching",NA,NA,"missed"
34,126,2,"square","stranger","Matching",1,583,"correct"
34,127,2,"circle","you","Matching",1,551,"correct"
34,128,2,"square","stranger","Nonmatching",1,633,"correct"
34,129,2,"circle","you","Matching",1,908,"correct"
34,130,2,"square","stranger","Nonmatching",1,596,"correct"
34,131,2,"circle","you","Nonmatching",1,904,"correct"
34,132,2,"square","stranger","Matching",1,372,"correct"
34,133,2,"circle","you","Matching",1,472,"correct"
34,134,2,"square","stranger","Nonmatching",1,672,"correct"
34,135,2,"circle","you","Nonmatching",1,1028,"correct"
34,136,2,"square","stranger","Matching",1,469,"correct"
34,137,2,"circle","you","Matching",1,580,"correct"
34,138,2,"square","stranger","Nonmatching",1,505,"correct"
34,139,2,"square","stranger","Matching",0,742,"incorrect"
34,140,2,"circle","you","Nonmatching",0,435,"incorrect"
34,141,2,"circle","you","Matching",1,523,"correct"
34,142,2,"square","stranger","Nonmatching",1,888,"correct"
34,143,2,"square","stranger","Matching",NA,NA,"missed"
34,144,2,"circle","you","Nonmatching",1,865,"correct"
34,145,2,"square","stranger","Nonmatching",NA,NA,"missed"
34,146,2,"circle","you","Nonmatching",1,835,"correct"
34,147,2,"circle","you","Matching",1,549,"correct"
34,148,2,"square","stranger","Matching",0,524,"incorrect"
34,149,2,"circle","you","Matching",1,598,"correct"
34,150,2,"circle","you","Nonmatching",1,710,"correct"
34,151,2,"square","stranger","Matching",1,651,"correct"
34,152,2,"square","stranger","Nonmatching",1,576,"correct"
34,153,2,"square","stranger","Matching",0,675,"incorrect"
34,154,2,"square","stranger","Nonmatching",1,773,"correct"
34,155,2,"circle","you","Matching",1,1025,"correct"
34,156,2,"circle","you","Nonmatching",1,848,"correct"
34,157,2,"square","stranger","Nonmatching",1,948,"correct"
34,158,2,"circle","you","Nonmatching",1,613,"correct"
34,159,2,"circle","you","Matching",1,582,"correct"
34,160,2,"square","stranger","Matching",0,751,"incorrect"
34,161,2,"square","stranger","Nonmatching",1,563,"correct"
34,162,2,"circle","you","Matching",1,424,"correct"
34,163,2,"circle","you","Nonmatching",1,363,"correct"
34,164,2,"square","stranger","Matching",0,341,"incorrect"
34,165,2,"circle","you","Matching",1,433,"correct"
34,166,2,"square","stranger","Nonmatching",0,389,"incorrect"
34,167,2,"square","stranger","Matching",1,657,"correct"
34,168,2,"circle","you","Nonmatching",1,430,"correct"
34,169,2,"circle","you","Nonmatching",1,674,"correct"
34,170,2,"circle","you","Matching",1,491,"correct"
34,171,2,"square","stranger","Nonmatching",1,446,"correct"
34,172,2,"square","stranger","Matching",1,848,"correct"
34,173,2,"circle","you","Nonmatching",1,380,"correct"
34,174,2,"circle","you","Matching",1,586,"correct"
34,175,2,"square","stranger","Matching",0,551,"incorrect"
34,176,2,"square","stranger","Nonmatching",0,706,"incorrect"
34,177,2,"square","stranger","Nonmatching",1,602,"correct"
34,178,2,"circle","you","Matching",1,749,"correct"
34,179,2,"square","stranger","Matching",0,516,"incorrect"
34,180,2,"circle","you","Nonmatching",0,744,"incorrect"
34,181,2,"circle","you","Nonmatching",1,813,"correct"
34,182,2,"square","stranger","Matching",1,709,"correct"
34,183,2,"square","stranger","Nonmatching",1,685,"correct"
34,184,2,"circle","you","Matching",1,460,"correct"
34,185,2,"square","stranger","Nonmatching",1,772,"correct"
34,186,2,"circle","you","Matching",1,546,"correct"
34,187,2,"square","stranger","Matching",NA,NA,"missed"
34,188,2,"circle","you","Nonmatching",1,624,"correct"
34,189,2,"circle","you","Matching",1,633,"correct"
34,190,2,"square","stranger","Matching",1,675,"correct"
34,191,2,"square","stranger","Nonmatching",1,736,"correct"
34,192,2,"circle","you","Nonmatching",1,580,"correct"
34,193,2,"square","stranger","Nonmatching",1,706,"correct"
34,194,2,"square","stranger","Matching",1,633,"correct"
34,195,2,"circle","you","Matching",1,525,"correct"
34,196,2,"circle","you","Nonmatching",1,782,"correct"
34,197,2,"square","stranger","Matching",1,833,"correct"
34,198,2,"circle","you","Nonmatching",1,553,"correct"
34,199,2,"circle","you","Matching",1,788,"correct"
34,200,2,"square","stranger","Nonmatching",1,645,"correct"
34,201,2,"circle","you","Nonmatching",1,937,"correct"
34,202,2,"square","stranger","Matching",0,688,"incorrect"
34,203,2,"circle","you","Matching",1,562,"correct"
34,204,2,"square","stranger","Nonmatching",1,656,"correct"
34,205,2,"square","stranger","Nonmatching",1,597,"correct"
34,206,2,"circle","you","Nonmatching",0,1049,"incorrect"
34,207,2,"square","stranger","Matching",1,649,"correct"
34,208,2,"circle","you","Matching",1,583,"correct"
34,209,2,"circle","you","Nonmatching",1,499,"correct"
34,210,2,"circle","you","Matching",1,675,"correct"
34,211,2,"square","stranger","Nonmatching",1,563,"correct"
34,212,2,"square","stranger","Matching",0,650,"incorrect"
34,213,2,"circle","you","Nonmatching",1,751,"correct"
34,214,2,"square","stranger","Nonmatching",1,830,"correct"
34,215,2,"square","stranger","Matching",0,650,"incorrect"
34,216,2,"circle","you","Matching",1,422,"correct"
34,217,2,"square","stranger","Nonmatching",1,577,"correct"
34,218,2,"square","stranger","Matching",0,457,"incorrect"
34,219,2,"circle","you","Nonmatching",0,366,"incorrect"
34,220,2,"circle","you","Matching",0,389,"incorrect"
34,221,2,"square","stranger","Matching",0,543,"incorrect"
34,222,2,"square","stranger","Nonmatching",1,737,"correct"
34,223,2,"circle","you","Matching",1,449,"correct"
34,224,2,"circle","you","Nonmatching",1,765,"correct"
34,225,2,"square","stranger","Matching",1,679,"correct"
34,226,2,"circle","you","Matching",1,550,"correct"
34,227,2,"circle","you","Nonmatching",1,613,"correct"
34,228,2,"square","stranger","Nonmatching",1,745,"correct"
34,229,2,"square","stranger","Nonmatching",1,662,"correct"
34,230,2,"square","stranger","Matching",0,610,"incorrect"
34,231,2,"circle","you","Matching",1,569,"correct"
34,232,2,"circle","you","Nonmatching",1,713,"correct"
34,233,2,"circle","you","Nonmatching",1,595,"correct"
34,234,2,"square","stranger","Matching",1,733,"correct"
34,235,2,"square","stranger","Nonmatching",1,651,"correct"
34,236,2,"circle","you","Matching",1,582,"correct"
34,237,2,"square","stranger","Nonmatching",1,644,"correct"
34,238,2,"square","stranger","Matching",1,940,"correct"
34,239,2,"circle","you","Nonmatching",1,803,"correct"
34,240,2,"circle","you","Matching",1,818,"correct"
40,1,1,"circle","stranger","Matching",0,736,"incorrect"
40,2,1,"circle","stranger","Nonmatching",1,535,"correct"
40,3,1,"square","you","Matching",1,637,"correct"
40,4,1,"square","you","Nonmatching",1,722,"correct"
40,5,1,"circle","stranger","Matching",1,646,"correct"
40,6,1,"square","you","Matching",0,241,"incorrect"
40,7,1,"circle","stranger","Nonmatching",0,613,"incorrect"
40,8,1,"square","you","Nonmatching",1,535,"correct"
40,9,1,"square","you","Nonmatching",0,674,"incorrect"
40,10,1,"circle","stranger","Matching",0,723,"incorrect"
40,11,1,"circle","stranger","Nonmatching",0,914,"incorrect"
40,12,1,"square","you","Matching",1,654,"correct"
40,13,1,"square","you","Nonmatching",0,868,"incorrect"
40,14,1,"square","you","Matching",0,766,"incorrect"
40,15,1,"circle","stranger","Nonmatching",0,758,"incorrect"
40,16,1,"circle","stranger","Matching",0,966,"incorrect"
40,17,1,"circle","stranger","Matching",NA,NA,"missed"
40,18,1,"circle","stranger","Nonmatching",1,821,"correct"
40,19,1,"square","you","Matching",1,647,"correct"
40,20,1,"square","you","Nonmatching",1,860,"correct"
40,21,1,"square","you","Nonmatching",1,1032,"correct"
40,22,1,"square","you","Matching",1,756,"correct"
40,23,1,"circle","stranger","Matching",NA,NA,"missed"
40,24,1,"circle","stranger","Nonmatching",1,817,"correct"
40,25,1,"circle","stranger","Nonmatching",0,621,"incorrect"
