"Subject","Block","Trial","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","RT_ms","ACC"
"10","1","1","circle","you","self-matching","Matching","you","You","Self","you","You","Self","NA","NA"
"10","1","2","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","446","0"
"10","1","3","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","664","0"
"10","1","4","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","569","0"
"10","1","5","circle","you","self-matching","Matching","you","You","Self","you","You","Self","582","1"
"10","1","6","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","508","0"
"10","1","7","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","594","0"
"10","1","8","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","916","1"
"10","1","9","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","553","0"
"10","1","10","circle","you","self-matching","Matching","you","You","Self","you","You","Self","738","1"
"10","1","11","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","620","0"
"10","1","12","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","NA","NA"
"10","1","13","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","794","1"
"10","1","14","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","656","1"
"10","1","15","circle","you","self-matching","Matching","you","You","Self","you","You","Self","766","0"
"10","1","16","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","806","1"
"10","1","17","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","572","0"
"10","1","18","square","stranger","self-matching","Matching","stranger","Stranger","Stranger","stranger","Stranger","Stranger","586","0"
"10","1","19","circle","you","self-matching","Matching","you","You","Self","you","You","Self","639","1"
"10","1","20","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","573","0"
"10","1","21","circle","stranger","self-matching","Nonmatching","stranger","Stranger","Stranger","you","You","Self","668","1"
"10","1","22","square","you","self-matching","Nonmatching","you","You","Self","stranger","Stranger","Stranger","726","0"
"10","1","23","circle","you","self-matching","Matching","you","You","Self","you","You","Self","973","1"
