"ExperimentName","Subject","Session","Age","Handedness","Sex","Identity","Shape","Target.ACC","Target.RESP","Target.RT","Label","Phase"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"n",999,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",1153,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",1221,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"b",1451,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"n",763,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,"b",973,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,NA,0,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"b",1025,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"m",1421,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"b",1147,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,"b",1199,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",0,NA,0,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,NA,0,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"b",786,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"m",1462,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",820,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,NA,0,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"m",911,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"n",1186,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",886,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",1087,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",895,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"n",525,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"b",757,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",1056,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"m",846,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,"b",966,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",832,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"b",805,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Self","T.bmp",1,"n",759,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",696,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",974,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"m",1030,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",779,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"m",913,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",861,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",883,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",918,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"b",1536,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,"m",1262,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"b",1100,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",658,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"m",1488,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",0,"n",1176,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",1694,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"m",1356,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"b",734,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"b",1525,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",941,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",843,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",917,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",736,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"n",934,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"m",869,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"m",938,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",832,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Stranger","C.bmp",1,"n",660,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",1386,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",0,"b",1374,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",973,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"b",853,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",813,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",733,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"m",742,NA,"Association"
"SelfAssociate",1,1,24,"right","male","Friend","S.bmp",1,"b",811,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"m",1245,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"n",941,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"b",1171,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"n",1043,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"m",907,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"n",1280,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"n",874,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"b",846,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",0,"b",1566,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"n",1062,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"n",980,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"m",995,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"b",1077,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"m",871,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"n",1083,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Friend","C.bmp",1,"b",941,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Stranger","T.bmp",1,"m",875,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"n",2518,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"m",912,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"m",668,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"b",688,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"b",640,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"m",578,NA,"Association"
"SelfAssociate",10,1,22,"right","female","Self","S.bmp",1,"m",472,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",774,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"n",1134,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,NA,0,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"m",881,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",723,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",645,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",1149,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",0,"b",1482,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,NA,0,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",0,"n",1032,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",1243,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"b",675,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",1149,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",1145,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"m",750,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"n",754,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"b",766,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",878,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",0,"b",993,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",917,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",1215,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",1061,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",707,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",1063,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",0,"b",1189,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",0,"m",1170,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",962,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",1004,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"m",774,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",0,"b",878,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"m",1432,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",836,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",1199,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",1216,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"n",910,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"m",1034,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"m",1076,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",1182,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"n",860,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"m",1027,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",791,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"m",1507,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",831,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",923,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Self","C.bmp",1,"b",830,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",0,"b",1090,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"n",1058,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",888,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"n",848,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",1281,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",811,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",0,"m",899,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"n",1249,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"n",1081,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"m",1123,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",1269,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",690,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"m",1058,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",727,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"m",1103,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",0,"b",867,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"b",816,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Friend","T.bmp",1,"m",1166,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"m",1030,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",658,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",1328,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"m",848,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",681,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"n",707,NA,"Association"
"SelfAssociate",11,1,21,"right","female","Stranger","S.bmp",1,"b",1071,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"n",1132,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"m",1212,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",0,"b",828,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",0,"m",1096,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"m",1046,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"m",1038,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",880,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"b",715,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"b",2325,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"n",1061,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"n",1163,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"m",845,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"b",949,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"n",746,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"b",1182,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"m",684,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"m",1213,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Self","C.bmp",1,"m",979,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",0,"n",673,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"b",934,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"m",1030,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"m",1226,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"b",1302,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",1388,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",848,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"n",1265,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"b",1221,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",1395,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"n",813,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Stranger","T.bmp",1,"b",933,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",901,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"n",884,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"m",1494,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"b",1284,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"m",1260,NA,"Association"
"SelfAssociate",12,1,20,"right","female","Friend","S.bmp",1,"m",1266,NA,"Association"
