"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"3001","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3002","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3003","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3004","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3005","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3006","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3007","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3008","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3009","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3012","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3013","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3014","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3017","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3018","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3110","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
"3111","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3115","Wozniak_2022_PsychRes_Exp1","/","1","/","/","/","/","/","/"
"3226","Wozniak_2022_PsychRes_Exp1","/","2","/","/","/","/","/","/"
