"Subject","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"1002","none","Masha","self-matching","Nonmatching","Masha","Close","Close","none","NonPerson","NonPerson","z","730","0.73","1"
"1002","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","z","705","0.705","1"
"1002","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","z","497","0.497","1"
"1002","Masha","You","self-matching","Nonmatching","You","Self","Self","Masha","Close","Close","z","520","0.52","1"
"1002","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","m","360","0.36","1"
"1002","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","z","517","0.517","0"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","350","0.35","1"
"1002","none","Masha","self-matching","Nonmatching","Masha","Close","Close","none","NonPerson","NonPerson","m","468","0.468","0"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","700","0.7","1"
"1002","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","z","573","0.573","1"
"1002","Masha","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Masha","Close","Close","m","449","0.449","0"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","660","0.66","1"
"1002","You","none","self-matching","Nonmatching","none","NonPerson","NonPerson","You","Self","Self","z","821","0.821","1"
"1002","You","You","self-matching","Matching","You","Self","Self","You","Self","Self","m","654","0.654","1"
"1002","Masha","You","self-matching","Nonmatching","You","Self","Self","Masha","Close","Close","z","680","0.68","1"
"1002","Masha","none","self-matching","Nonmatching","none","NonPerson","NonPerson","Masha","Close","Close","z","673","0.673","1"
"1002","none","Masha","self-matching","Nonmatching","Masha","Close","Close","none","NonPerson","NonPerson","z","529","0.529","1"
"1002","Masha","You","self-matching","Nonmatching","You","Self","Self","Masha","Close","Close","z","727","0.727","1"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","743","0.743","1"
"1002","none","Masha","self-matching","Nonmatching","Masha","Close","Close","none","NonPerson","NonPerson","z","548","0.548","1"
"1002","none","none","self-matching","Matching","none","NonPerson","NonPerson","none","NonPerson","NonPerson","m","610","0.61","1"
"1002","Masha","You","self-matching","Nonmatching","You","Self","Self","Masha","Close","Close","z","758","0.758","1"
"1002","none","Masha","self-matching","Nonmatching","Masha","Close","Close","none","NonPerson","NonPerson","z","811","0.811","1"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","606","0.606","1"
"1002","Masha","Masha","self-matching","Matching","Masha","Close","Close","Masha","Close","Close","m","625","0.625","1"
"1002","none","You","self-matching","Nonmatching","You","Self","Self","none","NonPerson","NonPerson","z","709","0.709","1"
