"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
14,1,1,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,914,0.914,1
14,1,2,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,882,0.882,0
14,1,3,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
14,1,4,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,892,0.892,1
14,1,5,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,685,0.685,1
14,1,6,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,829,0.829,1
14,1,7,"D.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,950,0.95,1
14,1,8,"D.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
14,1,9,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,684,0.684,1
14,1,10,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,892,0.892,1
14,1,11,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,702,0.702,1
14,1,12,"Tra.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,863,0.863,1
14,1,13,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,783,0.783,1
14,1,14,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,671,0.671,1
14,1,15,"Tra.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,959,0.959,1
14,1,16,"Tra.bmp","你","Matching","你","Self","Self","你","Self","Self",2,583,0.583,1
14,2,17,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,887,0.887,1
14,2,18,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,721,0.721,1
14,2,19,"D.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,706,0.706,1
14,2,20,"D.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,962,0.962,1
