Subject_ID,Exp_id,Age,Gender,Handedness,Ethnicity,Country,First_Language
1,Exp2,23,Female,/,/,/,/
2,Exp2,21,Female,/,/,/,/
3,Exp2,23,Female,/,/,/,/
4,Exp2,24,Male,/,/,/,/
5,Exp2,27,Female,/,/,/,/
6,Exp2,18,Female,/,/,/,/
7,Exp2,20,Male,/,/,/,/
8,Exp2,22,Female,/,/,/,/
9,Exp2,28,Male,/,/,/,/
10,Exp2,26,Female,/,/,/,/
11,Exp2,28,Male,/,/,/,/
12,Exp2,23,Male,/,/,/,/
13,Exp2,20,Female,/,/,/,/
15,Exp2,23,Female,/,/,/,/
16,Exp2,24,Male,/,/,/,/
17,Exp2,30,Female,/,/,/,/
18,Exp2,24,Female,/,/,/,/
19,Exp2,23,Male,/,/,/,/
20,Exp2,25,Male,/,/,/,/
21,Exp2,23,Female,/,/,/,/
22,Exp2,23,Female,/,/,/,/
23,Exp2,20,Female,/,/,/,/
24,Exp2,29,Male,/,/,/,/
25,Exp2,20,Female,/,/,/,/
26,Exp2,25,Female,/,/,/,/
27,Exp2,19,Male,/,/,/,/
28,Exp2,24,Female,/,/,/,/
29,Exp2,18,Female,/,/,/,/
30,Exp2,22,Female,/,/,/,/
31,Exp2,19,Female,/,/,/,/
32,Exp2,24,Male,/,/,/,/
33,Exp2,22,Male,/,/,/,/
34,Exp2,21,Female,/,/,/,/
35,Exp2,26,Female,/,/,/,/
36,Exp2,24,Female,/,/,/,/
37,Exp2,22,Male,/,/,/,/
38,Exp2,22,Male,/,/,/,/
39,Exp2,38,Female,/,/,/,/
40,Exp2,23,Female,/,/,/,/
41,Exp2,24,Male,/,/,/,/
42,Exp2,18,Male,/,/,/,/
43,Exp2,26,Female,/,/,/,/
44,Exp2,22,Male,/,/,/,/
45,Exp2,25,Male,/,/,/,/
46,Exp2,23,Female,/,/,/,/
47,Exp2,19,Female,/,/,/,/
48,Exp2,18,Female,/,/,/,/
