Subject,Group,Task,Matching,Shape,Shape_Origin_Identity,Shape_English_Identity,Shape_Standardized_Identity,Label,Label_Origin_Identity,Label_English_Identity,Label_Standardized_Identity,Response,RT_ms,RT_sec,ACC
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,325.626600068063,0.325626600068063,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,677.276100032032,0.677276100032032,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,554.703100118786,0.554703100118786,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,544.843200128525,0.544843200128525,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,339.628500165418,0.339628500165418,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,245.184500236064,0.245184500236064,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,327.152700163424,0.327152700163424,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,535.878600087017,0.535878600087017,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,259.916299954057,0.259916299954057,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,292.977700242773,0.292977700242773,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,348.871500231326,0.348871500231326,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,282.302200095728,0.282302200095728,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,202.787599992007,0.202787599992007,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,229.917000280693,0.229917000280693,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,277.421300299466,0.277421300299466,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,244.730700040236,0.244730700040236,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,207.718000048772,0.207718000048772,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,497.576100053266,0.497576100053266,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,523.189200088382,0.523189200088382,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,261.101600015536,0.261101600015536,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,519.689500099048,0.519689500099048,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,410.011900123209,0.410011900123209,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,447.690600296482,0.447690600296482,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,820.648500230163,0.820648500230163,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,592.015699949116,0.592015699949116,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,329.527999972925,0.329527999972925,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,200.947400182486,0.200947400182486,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,239.042400149629,0.239042400149629,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,381.288600154221,0.381288600154221,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,227.596299955621,0.227596299955621,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,646.506300196052,0.646506300196052,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,213.584300130606,0.213584300130606,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,396.671200171113,0.396671200171113,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,310.108600184321,0.310108600184321,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,779.390700161457,0.779390700161457,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,448.886000085622,0.448886000085622,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,270.614300156012,0.270614300156012,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,286.719500087202,0.286719500087202,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,271.972000133246,0.271972000133246,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,375.647800276056,0.375647800276056,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,203.07040004991,0.20307040004991,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,317.019500071183,0.317019500071183,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,291.909200139344,0.291909200139344,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,552.650900091976,0.552650900091976,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,358.974599977955,0.358974599977955,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,276.183800073341,0.276183800073341,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,285.098100081086,0.285098100081086,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,239.910900127143,0.239910900127143,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,276.554699987173,0.276554699987173,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,269.14030010812,0.26914030010812,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,477.402900112793,0.477402900112793,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,274.434600258246,0.274434600258246,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,501.884700031951,0.501884700031951,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,240.741100162268,0.240741100162268,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,259.967000223696,0.259967000223696,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,258.95639997907,0.25895639997907,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,704.391500214115,0.704391500214115,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,427.150100003928,0.427150100003928,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,531.717400066555,0.531717400066555,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,537.90790005587,0.53790790005587,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,720.88160016574,0.72088160016574,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,356.65150010027,0.35665150010027,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,531.621700152755,0.531621700152755,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,495.339500019327,0.495339500019327,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,328.105899970978,0.328105899970978,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,1049.3954999838,1.0493954999838,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,941.362200304866,0.941362200304866,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,402.104200096801,0.402104200096801,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,837.079900084063,0.837079900084063,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,659.441899973899,0.659441899973899,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,371.709000086412,0.371709000086412,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,732.826900202781,0.732826900202781,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,311.109200119972,0.311109200119972,1
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,1,268.312800209969,0.268312800209969,0
2,general self task,self-matching,Nonmatching,missing,friend,friend,Close,missing,missing,missing,missing,0,416.194700170308,0.416194700170308,1
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,1,598.743800073862,0.598743800073862,0
2,general self task,self-matching,Nonmatching,missing,stranger,stranger,Stranger,missing,missing,missing,missing,0,430.289800278842,0.430289800278842,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,318.069100147113,0.318069100147113,0
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,665.630700066686,0.665630700066686,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,0,524.299399927258,0.524299399927258,1
2,general self task,self-matching,Nonmatching,missing,general self,general self,Self,missing,missing,missing,missing,1,581.78020012565,0.58178020012565,0
