SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.007877201564627748,-0.1498723735048148,0.15793291235343482,Shape
20,0.005680731343283232,-0.10048042437035597,0.12138495417837045,Shape
30,0.009980583012741602,-0.0729355287697508,0.10092027825305716,Shape
40,0.008388029058842355,-0.06046530429011227,0.08260038534535462,Shape
50,0.007059644072366081,-0.060101110506968355,0.07320462766299562,Shape
60,0.005428716306854182,-0.058783928525986316,0.06602440744238984,Shape
70,0.0063237984627209105,-0.0442618392211112,0.059501335805640626,Shape
80,0.007637909939824914,-0.04936681472660026,0.0628800315999118,Shape
90,0.005817177411975735,-0.045196593940936565,0.05007389559210739,Shape
100,0.007171197369447764,-0.04108816023010165,0.05418753049401673,Shape
110,0.005209217608784801,-0.04491691327191168,0.04954036820081406,Shape
120,0.006295662070484539,-0.037050301727718636,0.04489753460848173,Shape
130,0.0055493261137556735,-0.03598264988378149,0.04455496070719331,Shape
140,0.0055174006803652,-0.03726289998474885,0.04643688092578496,Shape
150,0.006371035090617265,-0.030785854505190183,0.04440545375878081,Shape
160,0.006776718718180582,-0.02934170590214167,0.044668727783937275,Shape
170,0.005914307849840904,-0.026003367791189887,0.03882223295913239,Shape
180,0.008119532544737679,-0.022981210396217103,0.0432885416812854,Shape
190,0.007316992700074906,-0.02686314114660077,0.042725110505443066,Shape
200,0.004933596236124075,-0.025261492416577356,0.038314011159552894,Shape
210,0.007343688909595184,-0.02812030127446976,0.040842206937397735,Shape
220,0.008052772488827681,-0.021574440078445712,0.04038958777149445,Shape
230,0.007703727120468484,-0.02174439438730115,0.036521490906434105,Shape
240,0.005605595387531695,-0.02880774413123682,0.03631766648200886,Shape
250,0.0060233213376759305,-0.020994571485675555,0.03537611724019882,Shape
260,0.006156564196105045,-0.02182377817751294,0.03665019298642789,Shape
270,0.006858220106967845,-0.02037341909678217,0.03398440691542155,Shape
280,0.006155749623430334,-0.022939067914368633,0.03524951003164166,Shape
290,0.0076009735500147035,-0.019187722083669367,0.035068838016134855,Shape
300,0.005299299191933154,-0.021318108993261982,0.029587031141983595,Shape
310,0.0059639821215379234,-0.023214855312727458,0.03338005405201203,Shape
320,0.006977724613617427,-0.021589896313618556,0.032498494206753846,Shape
330,0.007170658519854264,-0.01973751492543262,0.03178695786509965,Shape
340,0.006216327052475871,-0.019005250461138712,0.032213924302170224,Shape
350,0.006581982703325071,-0.019558300850384534,0.02996428597020403,Shape
360,0.00637964991886533,-0.016229765645147293,0.032423074391905456,Shape
370,0.006212054804378562,-0.018378211192571964,0.030545422183101783,Shape
380,0.007440818488294441,-0.0194951455479921,0.03295187518120289,Shape
390,0.00633027336343858,-0.016539842865472002,0.028980524790234247,Shape
400,0.005572875877042986,-0.016258995204701948,0.026738460252559288,Shape
410,0.00640349808181389,-0.015806139098800725,0.028132068461120287,Shape
420,0.00685424321140247,-0.017964692987653057,0.02922261017575553,Shape
430,0.007073746855198801,-0.013856870701853697,0.03232961133412621,Shape
440,0.006992487288089691,-0.01692393576654147,0.028610660847890986,Shape
450,0.006934275392892309,-0.014591910206130024,0.027942846355037732,Shape
460,0.007263623162242155,-0.011698032269141255,0.02640522907520055,Shape
470,0.006602451801523861,-0.014868181682933017,0.027286555365821634,Shape
480,0.006242018958487572,-0.018144240398094237,0.027928396228488254,Shape
490,0.005802247302315894,-0.016473581385870982,0.027618903946942622,Shape
500,0.005981866255092252,-0.012723824346178414,0.026902064714806193,Shape
510,0.0064226884227453545,-0.014594569585262715,0.027692954567135927,Shape
520,0.006603225595021371,-0.014099870540239923,0.02638490111458569,Shape
530,0.006787244240656164,-0.012242157196401586,0.027286308464249925,Shape
540,0.006540286436349868,-0.014733748518830617,0.026281330891702693,Shape
550,0.006537132218695205,-0.013360236715842131,0.025803737077167117,Shape
560,0.006388243484547381,-0.014670328248301064,0.026201306453953594,Shape
570,0.006361946753290475,-0.013770493649517417,0.025908846927209808,Shape
580,0.0066434554604357775,-0.01255878284420779,0.025050409891423004,Shape
590,0.0063751596644046945,-0.011828271294638778,0.024265762056423064,Shape
600,0.006396936831664874,-0.014031411910903008,0.026587655236766823,Shape
610,0.006132239293701216,-0.013336753985955551,0.02503131908741868,Shape
620,0.006602759885773558,-0.01399873890633458,0.027182339141065215,Shape
630,0.006200112334374792,-0.010348921630681965,0.025904238953365393,Shape
640,0.0071503292322357345,-0.012515438906025118,0.02538877895995882,Shape
650,0.006411196579901766,-0.012403328763052808,0.02534943549103808,Shape
660,0.006901894881366278,-0.012323059479954202,0.025445588780892064,Shape
670,0.007082770464028427,-0.008266735689635513,0.023769484086621318,Shape
680,0.006346075546232564,-0.01145378421363096,0.024399707653149232,Shape
690,0.006959711538458113,-0.009511426550202866,0.024457543439808903,Shape
700,0.006505732031603226,-0.010261411067035372,0.02214559602305242,Shape
710,0.00650383177186739,-0.010146683215846105,0.023823915179343513,Shape
720,0.006965097774187372,-0.010373206415952603,0.024817642328139412,Shape
730,0.006788356970641728,-0.01162812207978758,0.025069683375828884,Shape
740,0.006137066274899254,-0.011208562367468766,0.022076212350207187,Shape
750,0.006937391001589369,-0.009895743525166301,0.023414221506043408,Shape
760,0.006577310914223162,-0.011670718172908955,0.023843773622251027,Shape
770,0.006785127259195965,-0.010730305243253146,0.023145807925816653,Shape
780,0.0068825027691748215,-0.009334782590357093,0.023120443261478225,Shape
790,0.006748613831165971,-0.00845477568212395,0.022910939135864106,Shape
800,0.006743892431169126,-0.009659311937053158,0.02285564993269455,Shape
10,-0.017468814668585585,-0.17305424248791013,0.15584837042968436,Label
20,-0.011902926297157144,-0.11885960236132437,0.11106817090719981,Label
30,-0.015198297122806223,-0.10541303683827975,0.07724157440876826,Label
40,-0.012661787130443474,-0.09009807455396482,0.07048058296538025,Label
50,-0.014462852415904419,-0.08671603391674358,0.06416278989680012,Label
60,-0.017809007402916285,-0.07940747057725113,0.0519295808260084,Label
70,-0.015059997741442255,-0.07625007593149194,0.04489200026834275,Label
80,-0.016226737447006107,-0.07643111931426516,0.040980406715733976,Label
90,-0.015323353395481387,-0.06952464786353471,0.041905188222780616,Label
100,-0.01362909526847813,-0.06262832036824934,0.03801302212494185,Label
110,-0.015684344914313524,-0.06469505424694787,0.029691301249409104,Label
120,-0.01563189934552336,-0.061739177146362206,0.03071847587110914,Label
130,-0.015325394127544193,-0.06413535147061844,0.03274737647430471,Label
140,-0.014748634128093425,-0.06021704283810333,0.025218473384800377,Label
150,-0.01630536740449538,-0.056491390030365,0.024649844141691708,Label
160,-0.013668877409611663,-0.05431586466620528,0.024617424562145315,Label
170,-0.015182747420855083,-0.0519650157779459,0.024841103861883988,Label
180,-0.015510147586315196,-0.05614760345609181,0.019629165787949775,Label
190,-0.0143287752591434,-0.05068632530739636,0.021832851819294008,Label
200,-0.015409189937749012,-0.05395162022997122,0.02025748330726331,Label
210,-0.015295049194033456,-0.0488695808414241,0.01804109092777213,Label
220,-0.014838380018913825,-0.05032819485119555,0.02045672093430622,Label
230,-0.014847177804816564,-0.04981840430971559,0.019083233277230396,Label
240,-0.015261783373714385,-0.04779744260974234,0.02122005725818293,Label
250,-0.0141279870215842,-0.04554420372475581,0.018618184800319577,Label
260,-0.015339772166731307,-0.04850144485809483,0.017856439535351577,Label
270,-0.01496452363305,-0.04530812700839742,0.01785373728388898,Label
280,-0.014963571596718073,-0.04388911214252428,0.015821487753853895,Label
290,-0.014466443933359361,-0.04214077754918904,0.014858370101633796,Label
300,-0.015199491581029932,-0.04587058731017029,0.011577493635560578,Label
310,-0.015107532556412647,-0.04166603129694498,0.014541654987197764,Label
320,-0.014164452940899203,-0.04214861447396406,0.013922224667328077,Label
330,-0.014292513238819231,-0.03784373978914377,0.010882637762956641,Label
340,-0.014177605422971985,-0.039885211786145465,0.012651102329753135,Label
350,-0.014515668883373408,-0.04332623572973508,0.012720153080303512,Label
360,-0.014902225167030188,-0.042029948428631614,0.012726605436883054,Label
370,-0.015568911441484312,-0.04139605347783408,0.013526155431983284,Label
380,-0.014872851714674883,-0.03958265567055607,0.012231686113533412,Label
390,-0.01621156994980365,-0.04307334385679024,0.00770095808785033,Label
400,-0.014454456317816465,-0.04189875164395748,0.01010042731802445,Label
410,-0.014690160527113147,-0.03916301290842672,0.009948775632740204,Label
420,-0.015405139165161976,-0.041090915275194845,0.009577988676244945,Label
430,-0.015598361690251819,-0.03809184985432434,0.00828874287278295,Label
440,-0.016920748934442797,-0.03919644008574465,0.007744010270890684,Label
450,-0.014720939646365718,-0.038750972437406946,0.004924708215125124,Label
460,-0.015199390799851126,-0.03776223136039916,0.009984737774151122,Label
470,-0.014558625402708398,-0.038279625016756275,0.009620168829875963,Label
480,-0.015251698499997158,-0.036591709385263266,0.005831164731715608,Label
490,-0.014152743632473059,-0.03557496958662961,0.007666816007793594,Label
500,-0.01473964689609189,-0.04109134073126448,0.009560681309121556,Label
510,-0.014988589707799673,-0.036045111664909375,0.0050778787446510805,Label
520,-0.015373854415434327,-0.03877825649196239,0.006803918533737633,Label
530,-0.014762647660104006,-0.037334037863685325,0.008088344250507438,Label
540,-0.016091272566065257,-0.037558168770694164,0.0053575241689973775,Label
550,-0.014832159106426594,-0.03370172088928706,0.005310149113412178,Label
560,-0.014547280362462715,-0.03525957014051347,0.00690125680877548,Label
570,-0.015287534257870779,-0.0366454187056347,0.005711785590642376,Label
580,-0.014694165096419227,-0.036716231328562006,0.008267372772675413,Label
590,-0.015574602977445284,-0.03623362025996139,0.0039643549443018206,Label
600,-0.014533459214188695,-0.03769218235055244,0.007428346420741957,Label
610,-0.01486200244194021,-0.03512103765765012,0.004980962843899243,Label
620,-0.014317942039711234,-0.03384819550670464,0.005936381188000306,Label
630,-0.015501553683334562,-0.033729373501529075,0.002222736998977625,Label
640,-0.014644644330792675,-0.033582269605664065,0.0030299982907355263,Label
650,-0.014690871384043958,-0.034870057760022374,0.0040990291387359825,Label
660,-0.0146876412808189,-0.03345960806484956,0.003690207223083531,Label
670,-0.014837538034023752,-0.03394332408232827,0.00597788704898979,Label
680,-0.015356162555579,-0.03431767331351788,0.004210577455772943,Label
690,-0.014434159587763161,-0.033031821922526204,0.004509758562234561,Label
700,-0.015127356562217791,-0.03490081247077182,0.003962946544525192,Label
710,-0.01448604692890644,-0.03419650253388677,0.003672021579759938,Label
720,-0.014560862219790166,-0.032949035185962594,0.005139503722406303,Label
730,-0.014405281953735397,-0.03283655001834564,0.004080047217303323,Label
740,-0.015244371410597084,-0.03331495429362814,0.0025275190959800544,Label
750,-0.013848004191990556,-0.03178763375483444,0.002567225027230887,Label
760,-0.014735231079023062,-0.031583145260785234,0.0029241365127297267,Label
770,-0.015071505877127817,-0.03387560944681727,0.0031473819224442194,Label
780,-0.014916295207197491,-0.032029606227897425,0.003946031686799289,Label
790,-0.014725629410600185,-0.03281189390998979,0.004105741335350889,Label
800,-0.014182134924183054,-0.0335905751949831,0.0031976390917280197,Label
