SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.06362226901228202,-0.13329894087097205,0.30450118848236796,Shape
20,0.05002154980849648,-0.08446599830775404,0.2037802932373528,Shape
30,0.05312940889862795,-0.056217700701201065,0.1712718534532017,Shape
40,0.051210755982737555,-0.042298711988726576,0.1410873528174734,Shape
50,0.05325875661157585,-0.022406437541815732,0.14908179913368838,Shape
60,0.054515120327377695,-0.03124472828693615,0.1378195869962568,Shape
70,0.05532095005971788,-0.01936884619937989,0.1342735776777448,Shape
80,0.0556146147071874,-0.01636490167548494,0.13510279342250164,Shape
90,0.05289991335296601,-0.012463469041750433,0.12738660637211174,Shape
100,0.052049213443637624,-0.0060822352218096705,0.11816723977714329,Shape
110,0.05366012985836094,-0.00772699605968544,0.11492372794808156,Shape
120,0.053816233812656065,0.0006870941514937003,0.11633227047992255,Shape
130,0.05401592689513796,0.0018346422671430846,0.11022541246988606,Shape
140,0.05536511638797614,0.0018069374265830497,0.1080219273401671,Shape
150,0.05523480089791101,0.0038086260164293118,0.11067027887246567,Shape
160,0.05237377781423028,0.0020749191607450004,0.10328414499724162,Shape
170,0.05451658121191041,0.002019048119043952,0.10251984075635455,Shape
180,0.055344076420772256,0.01212508374484294,0.10826104786665906,Shape
190,0.05451445692498952,0.010384154118060575,0.09981956210922567,Shape
200,0.054706815401470606,0.0119829684743266,0.10238839875799023,Shape
210,0.05549862371269708,0.01297742300819096,0.10286568578586004,Shape
220,0.0553066992361043,0.009659316666880234,0.09968627386565929,Shape
230,0.05263584161710706,0.010202167009761742,0.09671937647959578,Shape
240,0.0548372419837341,0.01409113588122975,0.09763341352127063,Shape
250,0.05570062696594158,0.011935690334589756,0.09903556540420384,Shape
260,0.055004431145647285,0.013298276204371575,0.09757860487974675,Shape
270,0.05426709547004938,0.01717115675704781,0.08975121456342813,Shape
280,0.0539595214881477,0.01986680696448165,0.09305462821751037,Shape
290,0.0541243974995718,0.01832178500955434,0.09294946522881803,Shape
300,0.052929549611613155,0.02080264936511211,0.09286435765987856,Shape
310,0.053941414668541895,0.02149345143628927,0.09147650627601277,Shape
320,0.05381204925695009,0.019637201753075168,0.09102288550035934,Shape
330,0.05539804047779803,0.01897692224882759,0.08915712069376112,Shape
340,0.05345314354891015,0.0184118395381595,0.09059589061628544,Shape
350,0.05244825358935064,0.01582617269276373,0.08825187010793506,Shape
360,0.05406367837111388,0.021479528864906023,0.09117947820927391,Shape
370,0.05475326151528806,0.023433602042203322,0.0897932344767409,Shape
380,0.05545350088842391,0.02515882157284341,0.08588961554095673,Shape
390,0.0549869862836231,0.023270128871649427,0.09000749008063401,Shape
400,0.056088728313291696,0.02667850305357645,0.08691089961353005,Shape
410,0.0558610882239302,0.025531393160369627,0.08834726343535726,Shape
420,0.054260404796959295,0.02652545332574616,0.08291615324846272,Shape
430,0.05379125608041649,0.024128097667941273,0.0828725272912163,Shape
440,0.05405005482688516,0.025976203237864728,0.08602265850740158,Shape
450,0.05454788558138513,0.02682194085216454,0.08460109275017873,Shape
460,0.05402314990293853,0.02577674857208041,0.08437012331161076,Shape
470,0.05388232203630859,0.02573229765356171,0.08473837149633381,Shape
480,0.05468060906013764,0.02512509204760062,0.08558307253257011,Shape
490,0.05395614823164544,0.02506344231981129,0.08651442041287438,Shape
500,0.05321305563829321,0.024967698297028027,0.08123124667458326,Shape
510,0.05378377708860826,0.027326363972662134,0.08429729293716229,Shape
520,0.05421849441381497,0.026126900202565292,0.08086328443308143,Shape
530,0.05442974156429641,0.026539074967869735,0.08459367642123182,Shape
540,0.05393557609080633,0.026765755919763937,0.08037496130289781,Shape
550,0.05541524905479014,0.029872062607186483,0.08454933126605618,Shape
560,0.055069278961741616,0.02995039917226544,0.0831539788952474,Shape
570,0.05298366130694892,0.02563298213276061,0.08267884144858262,Shape
580,0.05474790365248153,0.030276091658272927,0.07896255583521318,Shape
590,0.0551845823784567,0.027321926462967515,0.08290168211429957,Shape
10,0.010046781627725663,-0.1858828463178798,0.23218448065627015,Label
20,0.003287908397181314,-0.12947671418904674,0.14833555000912324,Label
30,0.01608987930107322,-0.09981206678512847,0.148127291447219,Label
40,0.012063894914943269,-0.08344460087612808,0.12734179001146217,Label
