SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.054411802920822504,-0.11803106538239859,0.2778104896277255,Shape
20,0.056045128989529874,-0.0795124705649638,0.2119210279935689,Shape
30,0.051531289820921006,-0.06245247712712019,0.1845401159544481,Shape
40,0.05444229532937243,-0.04393987399135476,0.17383543362274456,Shape
50,0.054439727434173656,-0.032946890286828436,0.14478622332713084,Shape
60,0.05428491150748254,-0.026648357310520426,0.1498971560117891,Shape
70,0.05633202919763433,-0.01304952972739269,0.13758394318305694,Shape
80,0.05566468335789213,-0.00612694888501578,0.12705241400933526,Shape
90,0.054500482379018396,-0.006028267343259407,0.12779407408036916,Shape
100,0.05229494813706867,-0.0050878858170438435,0.11929434123710482,Shape
110,0.05432788993272446,-0.004341829867413829,0.1199769786900329,Shape
120,0.051978372375893554,-0.005511784950994683,0.1062938952439412,Shape
130,0.05464329710570036,0.00656593881489144,0.11015620090399852,Shape
140,0.05405428359154898,0.002028717780571379,0.10602030238968392,Shape
150,0.049940515050938473,-0.0013350440166630742,0.10260826934205843,Shape
160,0.05345906414857917,0.007530317159570181,0.10548050119772932,Shape
170,0.055725999572880096,0.009896050353216296,0.10295513326895522,Shape
180,0.05446519999901253,0.010435332830594772,0.10610909851711137,Shape
190,0.053790696741788775,0.011536027203644083,0.10350780518716862,Shape
200,0.05474388774598292,0.01188201003244055,0.09729584879540996,Shape
210,0.05293847126304217,0.011749325019872817,0.09694505431746585,Shape
220,0.05273464821275239,0.011965190700270195,0.09369185205257241,Shape
230,0.054640833828431115,0.010327474065854412,0.0954813525755776,Shape
240,0.05419382728389654,0.013994254572800532,0.09576179391883662,Shape
250,0.05587014382687957,0.018563419436569594,0.09682377791057167,Shape
260,0.05513015993182729,0.018564706661935805,0.09325009356225238,Shape
270,0.05400730532702134,0.017968520892795898,0.09256923148366826,Shape
280,0.05580092360400354,0.01873833851037782,0.09630042997773498,Shape
290,0.05500150451352397,0.01422202396796757,0.09193505450640047,Shape
300,0.053747514666348466,0.018233086808970265,0.088383042298737,Shape
310,0.053181146783777014,0.0133129172999931,0.09140489474652189,Shape
320,0.05477006793527909,0.02280845078674928,0.0907516509187324,Shape
330,0.05383597836379737,0.01990582554754853,0.08923281895919578,Shape
340,0.05313458735772018,0.021422542186790357,0.0876963251390091,Shape
350,0.05617527955248852,0.027424557129862966,0.0909853285316175,Shape
360,0.05401310294815883,0.02085654312752935,0.08927297277736167,Shape
370,0.05512039091486501,0.021725057132406467,0.08929947511238572,Shape
380,0.05359343087058409,0.020593212571487093,0.08857683835517298,Shape
390,0.05381782920116764,0.0208438601050151,0.0887371175415636,Shape
400,0.05432335399420469,0.022740571151495116,0.08749694386586293,Shape
410,0.05502539457938339,0.025014601175775357,0.08880606086556773,Shape
420,0.053298623885933705,0.022947137315906304,0.08220734835180166,Shape
430,0.05388302556407966,0.021560560810886954,0.08411464574008717,Shape
440,0.05429746087548331,0.02490709998170918,0.0843817909368887,Shape
450,0.055968180287171904,0.025748845128636774,0.08532533596718889,Shape
460,0.05402447669025523,0.024545777632434606,0.08509849195926612,Shape
470,0.055152939318037796,0.02334632071625933,0.08434907090649804,Shape
480,0.05299968960787392,0.021833298510702533,0.07746156628755942,Shape
490,0.05556807987447992,0.029773988757088497,0.08493820563218517,Shape
500,0.054548319338258835,0.028061242884350194,0.08165070926946925,Shape
510,0.05507002038903145,0.029842706291775253,0.08291303444124934,Shape
520,0.05471806593156608,0.025896711082898097,0.0867066948553859,Shape
530,0.054585859252754595,0.025986532817765848,0.08028526485349846,Shape
540,0.05461877911946276,0.029279043414266473,0.07925160814384698,Shape
550,0.0550561999075821,0.030152218353152748,0.08334408123311787,Shape
560,0.05428799837744348,0.029735562280746215,0.08175574841804643,Shape
