SampleSize,Mean_d,SE,CI_lower,CI_upper,Identity
10,0.07395242512751447,0.11592353937280253,-0.136848204784014,0.31054546784678355,Shape
20,0.0737827031686631,0.08529655528903006,-0.08687616509988404,0.24715097694806598,Shape
30,0.07785062856253293,0.07336758309938465,-0.06979102942752727,0.21603937811906043,Shape
40,0.07416665045089796,0.06189557499695019,-0.047796078698026524,0.1900699297700951,Shape
50,0.07348891006833544,0.0533819822252594,-0.02497275173778092,0.1849034897704479,Shape
60,0.07522056493966113,0.048687637199653334,-0.015628665618752428,0.16616438546216922,Shape
70,0.0711774495561905,0.04502452193675236,-0.011193458162054071,0.16308772092024576,Shape
80,0.07823276586584596,0.04214247812220563,-0.006621563779368376,0.16112080302886145,Shape
90,0.07611413684152711,0.03929857910474564,-0.0005095534137239629,0.15070841179381672,Shape
100,0.07551866451793232,0.0388471773134309,-0.003024817371310193,0.15645422521081903,Shape
110,0.0747496640634016,0.038182342503977985,0.0038455291990657637,0.15240316833628048,Shape
120,0.07414315509248236,0.03563504737746855,0.006355933621933262,0.1448087367937051,Shape
130,0.07322760635601903,0.034225681916664634,0.007280625500663327,0.1404175190498075,Shape
140,0.07707326669131397,0.03167843339051273,0.019003039757041283,0.13943450023892162,Shape
150,0.07495391792786733,0.03095339858220419,0.01605422550206936,0.13914683488014587,Shape
160,0.07561297870403252,0.02990680815297917,0.021695818067343216,0.13628805503462865,Shape
170,0.0735707840387783,0.027082485979144907,0.022801597593134746,0.1290123371375696,Shape
180,0.0729263765601951,0.030083884599034678,0.018481390425914068,0.13889725440311385,Shape
190,0.07348035406777073,0.02876957022486687,0.01296826956729677,0.1303419228284451,Shape
200,0.07525307897338682,0.02861377140868386,0.02109716775386491,0.13169363795595157,Shape
210,0.07478314478005918,0.02670030862921519,0.023359417094431654,0.1271462693059638,Shape
220,0.07356858049818543,0.027255509901809003,0.021091383226661483,0.12857905706733888,Shape
230,0.07484020902021087,0.02476630168762811,0.024012198699925186,0.12192109224365395,Shape
240,0.07466913517801356,0.025205883011284097,0.02206738738097923,0.12299012201835745,Shape
250,0.07373157754749804,0.024132376594900116,0.02739127682017997,0.11962043495245796,Shape
260,0.0736849564466173,0.024748732053803336,0.027320379189827534,0.12660870883072992,Shape
270,0.07540832383057473,0.02414003454492639,0.02426934674111863,0.12081687460750135,Shape
280,0.07344783835681225,0.02331620511530775,0.029806581211774055,0.12204987263878252,Shape
290,0.07716275361288374,0.022715919611324697,0.03167387985864943,0.1207478425533552,Shape
300,0.07534627278656111,0.022291955121623387,0.03101934421373924,0.11866090252629383,Shape
310,0.07499365274971335,0.0204726653480684,0.033324759255824093,0.11603658352744803,Shape
320,0.07359970893991118,0.01978025526697952,0.03587263046756118,0.11126202934263026,Shape
330,0.07535593789858487,0.021020088219013616,0.031647661145343974,0.11586224561544368,Shape
340,0.07483438293054974,0.021257583935502124,0.03627629457743733,0.11502207860083505,Shape
350,0.07334570189976643,0.019710791278770356,0.0329404368498863,0.10992356060328015,Shape
360,0.07424945058818887,0.020877952950158974,0.03572530376102207,0.1162123044109008,Shape
370,0.07529527101158293,0.019319105463195534,0.035897802822023046,0.11057719180757507,Shape
380,0.07311666400774158,0.019755148807403037,0.03573822028888156,0.11131383779465424,Shape
390,0.07514637934299179,0.019883078783660895,0.03631914923115024,0.11517472703234169,Shape
400,0.07397481875566604,0.019485313467695966,0.035727388202592754,0.11348808372289976,Shape
410,0.07494532769724782,0.018538639696049367,0.042778733437439265,0.11292032553635852,Shape
420,0.07308006125070039,0.018947407502127672,0.035937804540596904,0.1108219729471111,Shape
430,0.0750965505116092,0.018408200392287886,0.039925186193081476,0.11107865432589911,Shape
440,0.07469754359049378,0.01985204673922161,0.036335854815562514,0.11448006180334222,Shape
450,0.07376392184278406,0.017551085946217203,0.03826697453686964,0.10806135621668235,Shape
460,0.0762383014307843,0.01753396846881187,0.04387979120345777,0.11239123513017096,Shape
470,0.07374846660358454,0.01873838367582214,0.039729406252100356,0.10967119961841117,Shape
480,0.07491879455531326,0.018022236333215653,0.03879430366584292,0.10919669949775941,Shape
490,0.07212189399985452,0.01760319293673758,0.037007889484949895,0.109219768057375,Shape
500,0.07231750352377836,0.01749713171852214,0.03986812010916054,0.10747719582891056,Shape
510,0.07375495987957145,0.01649520533693596,0.042250531245192,0.10564075695377109,Shape
520,0.0740989030698521,0.015908145549196277,0.04574482813255648,0.10450721166174048,Shape
530,0.07537444144314544,0.01745711989666423,0.041254084114537376,0.10916624361626058,Shape
540,0.07616025619417686,0.01724962528209305,0.04095843373646844,0.10947431479658307,Shape
550,0.07442136411250562,0.016781990058390695,0.04237630369753526,0.10897971457715312,Shape
560,0.07452577399394641,0.01673235497594607,0.04186584212264509,0.10674046350914212,Shape
570,0.07453337298345486,0.015972835210064033,0.045299442667517356,0.10667729594515409,Shape
580,0.07378304313143334,0.016030587277482064,0.044799766841389886,0.1042808761665501,Shape
590,0.07516202103756736,0.015871949716274116,0.0462745711762447,0.10941806215366626,Shape
600,0.07402093037272195,0.014879642594215184,0.04552299856882408,0.1024836615331916,Shape
610,0.0741954080526916,0.015239595018610894,0.04401562755866169,0.10639405846241186,Shape
620,0.07364684005480542,0.01564047220721765,0.044189538962556556,0.10613328707813538,Shape
630,0.07425299289188018,0.014486321283141881,0.04691627694803798,0.10344281431913198,Shape
640,0.07452572754149467,0.015057549812121956,0.045108159492716446,0.10282679458100186,Shape
650,0.07390910083052842,0.015343121055796485,0.0443324164629587,0.10235127465516498,Shape
660,0.07281162959186047,0.014169844387544877,0.04505999696775516,0.09944544547315019,Shape
670,0.07386792260883931,0.014589113051427143,0.04652615597174651,0.10309845435703413,Shape
680,0.0741177411469319,0.015369077994614237,0.0446721449653378,0.10395703148374276,Shape
690,0.07509329420406143,0.014976498239896786,0.04888280260413391,0.10779469065825398,Shape
700,0.07520496864136297,0.0149344148107623,0.046651069841249004,0.10653289550534699,Shape
710,0.07315222862189819,0.014271081281112355,0.047374776348108105,0.10035725314761328,Shape
720,0.0732353850619385,0.015068184455648833,0.04321772930747308,0.10127741017363433,Shape
730,0.07416742337501282,0.013756975046472691,0.04634229630467924,0.10206372549747826,Shape
740,0.0743526416363546,0.013472213800176205,0.04957451210114113,0.10110450708483934,Shape
750,0.0736601861343126,0.013787230184538061,0.04515071648828929,0.10171331911589888,Shape
760,0.07490971901675375,0.014094516437762963,0.049868471402916906,0.10387202273441842,Shape
770,0.07464186621830902,0.014229184686527454,0.04659299169419134,0.10365762875659731,Shape
780,0.07513522174362351,0.013477436555648422,0.0504663376527071,0.10254466695161896,Shape
790,0.07466932204026838,0.012758942527373942,0.04896533699265192,0.1004857455337388,Shape
792,0.07356567069282335,0.014425716693100325,0.04320669968346291,0.10154747443938543,Shape
10,0.2744301407377931,0.1342347106774173,0.014975873152932277,0.5289937068827767,Label
20,0.2762666737657187,0.09345948927144573,0.10738030130590188,0.47212885972269925,Label
30,0.2824690444303446,0.07136123109289762,0.1482639287475681,0.41784288559613453,Label
40,0.27731811738897216,0.06501285321953185,0.15950783205063435,0.40292565978959494,Label
50,0.2774834199768744,0.060400853377043866,0.16812504653862803,0.4000667317568107,Label
60,0.2794807888701762,0.051609287227325766,0.18356829123790688,0.3803985606033418,Label
70,0.27692549876417716,0.049197693749310455,0.18164448072348213,0.38156570206239804,Label
80,0.2735973370988351,0.04572770910448434,0.18586013834783396,0.3652360222161928,Label
90,0.27758296053404025,0.04380560461358745,0.19943244251662723,0.36039832277379125,Label
100,0.27778653372159934,0.04193557996632075,0.19469421615126403,0.36967729235123675,Label
110,0.2766500069989857,0.03886544985075613,0.20513215030935097,0.3613767117527686,Label
