SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.07900730076843805,-0.1548992883246404,0.35687143376166314,Shape
20,0.06916480181189123,-0.09285124740409868,0.23173820024898859,Shape
30,0.07610477483028441,-0.05733012964369311,0.22339164816853543,Shape
40,0.0727294171363189,-0.03616097841038906,0.18879272938824587,Shape
50,0.07089312828261071,-0.03193385612260702,0.18520203117654324,Shape
60,0.07523238932560053,-0.01611766622376074,0.17322069000650006,Shape
70,0.07471388131897148,-0.01352332314819669,0.16488773188259775,Shape
80,0.07225005417384997,-0.008975411749895508,0.1658396108261661,Shape
90,0.07552645271858537,-0.0017253372490059011,0.15373956754545026,Shape
100,0.07363315514763238,0.006167032425204895,0.14903944103222153,Shape
110,0.07686503569489173,0.003981521398217685,0.1486849338957729,Shape
120,0.0752378812140616,0.006361552922325564,0.14557151343506264,Shape
130,0.0731018409310169,0.010260182866598763,0.14030871411527968,Shape
140,0.07465097845873961,0.012243019581106717,0.13717181498425912,Shape
150,0.0755792095195808,0.019906694016605584,0.13493985422082239,Shape
160,0.0731017701579384,0.012768135365680201,0.13152918095877314,Shape
170,0.07441741789657294,0.01791888893840752,0.12995869171858485,Shape
180,0.07501676781206379,0.0242876331285242,0.13573346161319413,Shape
190,0.07401950473600633,0.020073035896712426,0.1304945625211657,Shape
200,0.07627002259611498,0.022507577902752367,0.13501133873403606,Shape
210,0.07465483739126756,0.02142450696896758,0.12611283503419984,Shape
220,0.07432783306318061,0.024055246521248012,0.12688811259494448,Shape
230,0.07617870622916484,0.030670625404374225,0.12538855341947128,Shape
240,0.07463888379363906,0.02513561674299713,0.11858477758619067,Shape
250,0.07405337786804882,0.029280983450417915,0.12060235662743891,Shape
260,0.07476469574503812,0.03015600228797385,0.12069724069015215,Shape
270,0.07602070542102916,0.029867447664633458,0.12439462413399678,Shape
280,0.07494636390196693,0.032716348834320334,0.1192622982534511,Shape
290,0.07420190305643361,0.02652172417120689,0.11665820857683744,Shape
300,0.07366041101650961,0.028046284220519087,0.11699191890332891,Shape
310,0.07461635850253742,0.03108345702371836,0.11780585542804718,Shape
320,0.07321224681899807,0.030290828918464706,0.12086111573673369,Shape
330,0.0742321066888512,0.03557461212501059,0.1201861631511381,Shape
340,0.07386359454727702,0.032599040746965964,0.11591978470242188,Shape
350,0.07548736182064456,0.03734606570206918,0.11942382665750033,Shape
360,0.07313778391577634,0.03247463479340137,0.11677747844937929,Shape
370,0.07551143367481938,0.03993304974110743,0.1131854389921524,Shape
380,0.07461184885111749,0.03524302711195573,0.1135598198840306,Shape
390,0.07586966446815072,0.04038013532465315,0.11642455361565947,Shape
400,0.07206470943491283,0.035154603225748385,0.109098616702165,Shape
410,0.0743896038295006,0.040284471551974226,0.10728496676578443,Shape
420,0.07581061901719484,0.04110923236066949,0.11256101378186746,Shape
430,0.0746623839115586,0.040851792880419,0.10866301658287815,Shape
440,0.07343523759762713,0.03973446411110273,0.11374137724965912,Shape
450,0.07341476757096815,0.038029952063169,0.10834429547054447,Shape
460,0.07475386406395482,0.039253657042086505,0.10815822620241677,Shape
470,0.0733898079702789,0.033870102448485005,0.10666395633693296,Shape
480,0.07644443051328757,0.040553426854413724,0.11293469777832879,Shape
490,0.07343430552903871,0.03951548746567451,0.10867376635024176,Shape
500,0.07496444993186346,0.04100953277576464,0.1086952125940512,Shape
510,0.07441992000030052,0.040785915918198384,0.10723370860175216,Shape
520,0.0748641578968827,0.04342519068297302,0.11023764909650395,Shape
530,0.07498330975971977,0.044678957884158314,0.10411149755514039,Shape
540,0.07357898725276672,0.04291038028422004,0.10601427030638241,Shape
550,0.07396409641636136,0.04149300682951533,0.10688813599837822,Shape
560,0.07410141084961716,0.039461545463906116,0.10473164716918998,Shape
570,0.07445214798325239,0.04285004543624854,0.10661759047744587,Shape
580,0.07495384669417175,0.045392322636511884,0.10565373826726968,Shape
590,0.07483119643921723,0.04380193420533912,0.10418543623010139,Shape
600,0.07362581371113452,0.04303476843311509,0.10423835630388509,Shape
610,0.07371221828632753,0.04383113573065479,0.10201949152046016,Shape
10,0.2864052527413681,0.014819131261199377,0.5308188411271725,Label
20,0.27503463474271106,0.09076545273760196,0.46047284239022157,Label
30,0.27679691680342056,0.1296784133512982,0.4240726136957206,Label
40,0.27447525854609145,0.14800916063226977,0.40077326073815783,Label
50,0.27854647670432736,0.17506020752585374,0.3860759750586332,Label
60,0.2768002323353705,0.1744336943644768,0.39858882320310085,Label
70,0.27959046668554277,0.18334715648629896,0.3791899683936911,Label
80,0.2769100851647566,0.19259760623743735,0.3721320245953899,Label
90,0.27867398762134143,0.19719840312238338,0.3586908655516056,Label
100,0.27802273133797006,0.19582867119659483,0.35945955570817517,Label
110,0.2816297412943987,0.2079644112464255,0.35729492672751445,Label
120,0.27849850707627216,0.2036265694956417,0.3518419156398309,Label
130,0.27750874113152724,0.2086792543331752,0.3448158793083931,Label
140,0.2783318016224411,0.21226138958842208,0.34663647405510634,Label
150,0.2771166307691101,0.21608336168868933,0.34319867925845643,Label
160,0.27739858681044727,0.2174488529581919,0.34448068446516383,Label
170,0.2762248930699799,0.2161943312422688,0.33194024881296536,Label
180,0.27578880935541417,0.21767510351827318,0.33187854747641327,Label
190,0.27955670222527224,0.21828742860671077,0.33894982740039165,Label
200,0.2779146941421679,0.2200764886304832,0.3344104462796357,Label
210,0.2780438342102501,0.22060006320335593,0.33631568035571835,Label
220,0.27845783606634267,0.22514992850039264,0.32911517341363694,Label
230,0.27858932235892075,0.22379674269444244,0.3303924306995859,Label
240,0.27843761740414535,0.22190727909447217,0.32756878143798274,Label
250,0.27567754508189024,0.22189589880347407,0.32699110320927355,Label
260,0.27814441112236643,0.22603463278627797,0.3267673340890357,Label
270,0.27888601376979155,0.23144654688857563,0.32777741193881893,Label
280,0.2762259193335639,0.2296534478431977,0.32648432584382003,Label
290,0.27761670734714844,0.23346826883855276,0.32121386926292084,Label
300,0.2762613654011435,0.23055680444272172,0.32588455327879057,Label
310,0.2772730405282722,0.2321016655951398,0.32802453263223297,Label
320,0.2777892013023826,0.2283901076741607,0.31951806782092673,Label
330,0.2782459302786402,0.22901747473751435,0.3213612010492497,Label
340,0.2790008413505907,0.23605331028103538,0.3156538924064309,Label
350,0.27758237692339865,0.23531386889561334,0.32182834381781406,Label
360,0.27832696783032457,0.23648475089108767,0.32391192524356754,Label
370,0.2773553960475834,0.23699067641409302,0.31994708625614265,Label
380,0.27629726665725574,0.2331306319976688,0.3188612462642675,Label
390,0.2780685217216962,0.23437334708491964,0.31782841884815355,Label
400,0.27888640409848336,0.23417062063387087,0.32322125853045475,Label
410,0.27737025401799464,0.2394303391945719,0.31395869964508444,Label
420,0.277176385488506,0.2388028366710438,0.31299430013663176,Label
430,0.277518383805569,0.23881436811851414,0.31887473077682404,Label
440,0.27688393061863165,0.23847923273424157,0.31702912206631406,Label
450,0.2778259381781509,0.24235271528306754,0.3163799122856005,Label
460,0.2774835591891216,0.2407871316110803,0.3121748270793938,Label
470,0.2783830029948844,0.24123489184448813,0.31659277331944086,Label
480,0.2755818674904663,0.23851898774227492,0.30889046055073593,Label
490,0.27735825114319085,0.23796839364114808,0.3145616975288554,Label
500,0.2782633151113215,0.2388656247843495,0.3129237092918267,Label
510,0.2758838314969184,0.23989923698023774,0.31446837084070467,Label
520,0.2766157734483039,0.2406922433675785,0.3134717482603058,Label
530,0.27702422748008054,0.24292361577517996,0.3134678792923548,Label
540,0.2789643945056229,0.2404764465245365,0.3189266862801013,Label
550,0.2777751321292046,0.2432573167488914,0.3115565911803098,Label
560,0.27865016731921366,0.24510283371954736,0.314010579689082,Label
570,0.2776725550904496,0.24652637188391385,0.3109127716956266,Label
580,0.27786168183074655,0.24597702656120585,0.30966141930092217,Label
590,0.2776653714722787,0.24084238886844705,0.3117378882461613,Label
600,0.2767769525335283,0.2443366142522273,0.31092268807034523,Label
610,0.27684291141489065,0.24442661361579016,0.30756008936431156,Label
