SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.02547075854173275,-0.12577991176409875,0.1908772883439616,Shape
20,0.024974910045311462,-0.07880102500055976,0.12240232386523288,Shape
30,0.02808571865349017,-0.06042373008423488,0.11166284581065336,Shape
40,0.02539893824613787,-0.06338706213855785,0.10538932144711786,Shape
50,0.02973276902258923,-0.041839990594081305,0.10677134169057363,Shape
60,0.026571694866384273,-0.0364454665715277,0.09359559805149611,Shape
70,0.028286191790905066,-0.032730701502467784,0.08568248208743189,Shape
80,0.02663977282954225,-0.029484712104637427,0.08182969862926245,Shape
90,0.02644393319544614,-0.026491657562840103,0.07634103061342078,Shape
100,0.029490797584637178,-0.016672504819795937,0.07835701329326589,Shape
110,0.027466495671123296,-0.021386106434917368,0.07492315138681731,Shape
120,0.025862855727308506,-0.020832557734211273,0.0751657052359051,Shape
130,0.02697754807473568,-0.01593020477271748,0.06965149173784853,Shape
140,0.028611717903023064,-0.013684870082429943,0.07195221771579483,Shape
150,0.026872174268314567,-0.015703967631330678,0.06498248363576077,Shape
160,0.026438824189942266,-0.01483242813960859,0.06751388278382023,Shape
170,0.027477046348227948,-0.009793680854095606,0.06260349131307516,Shape
180,0.02834523011870853,-0.006988771404766387,0.06383254664062986,Shape
190,0.026599469882179504,-0.011525972445632202,0.06177017132068179,Shape
200,0.02791439459307186,-0.003909152864399616,0.06071708911395447,Shape
210,0.025978701493230175,-0.010270068811164932,0.06102833747622534,Shape
220,0.02790588736155599,-0.01007733546926861,0.06092386661430941,Shape
230,0.028052705147492456,-0.004038520596560124,0.062451592613589325,Shape
240,0.02745221619995476,-0.005132652197475096,0.06114227185075735,Shape
250,0.028106098943200954,-0.007084316844135197,0.055600303370445706,Shape
260,0.02848438433409345,-0.0012384934327223324,0.05934363366433176,Shape
270,0.027843813608037535,-0.0037314203155347165,0.057217637156550094,Shape
280,0.028070509449684054,-0.0027718882615304394,0.05679865154327691,Shape
290,0.026789649548898568,-0.0005136382094280288,0.0546727054911723,Shape
300,0.02702125134115677,-0.0011735014070497387,0.05366128747985169,Shape
310,0.027700963016413394,-0.002512409297360715,0.05599103632815488,Shape
320,0.026601668947857024,-0.0004584010108365742,0.051416103147667674,Shape
330,0.027018972526232893,0.00012250257366708158,0.05311995396828824,Shape
340,0.026994996995912714,0.0034792778457032507,0.05464424938513759,Shape
350,0.026436573521217477,-7.651987680645415e-05,0.050304009529203615,Shape
360,0.027029452885530474,0.003480451396569855,0.0560826442102375,Shape
370,0.027679804221799907,0.0013288565623058067,0.05313349869091276,Shape
380,0.02712491811680105,0.002518511094413786,0.05525245949092978,Shape
390,0.026948465652055397,0.001496941892648298,0.05403037210800379,Shape
400,0.026371974031081307,-0.0014422624124885174,0.053794406148951694,Shape
410,0.026985621498158373,0.0030112870965380094,0.048944507013959755,Shape
420,0.02821581753671081,0.004737071505334975,0.05019519799582204,Shape
430,0.026960618711772136,0.002711315567078234,0.050827956538260666,Shape
440,0.027699310306901568,0.0026081299197556087,0.051527433026428295,Shape
450,0.02817113515552276,0.0040859523094804945,0.0523548120939662,Shape
460,0.02817413398485741,0.005866124577131661,0.05166284226881111,Shape
470,0.027305219122219983,0.003873801880539007,0.05127134573205981,Shape
480,0.027295376168769495,0.0058066389186719435,0.05044023571267306,Shape
490,0.027665977831422287,0.0060154696758921294,0.049056375837651434,Shape
500,0.02663264034189939,0.003767451923146295,0.04620647609667503,Shape
510,0.027551548811495342,0.0047665750914877405,0.047790308761294094,Shape
520,0.027398782795694864,0.007761970908455692,0.04684706860356706,Shape
530,0.027342757259839277,0.005153251504492614,0.05057626872856349,Shape
540,0.02738015516007251,0.00432395248671229,0.04898814388855024,Shape
550,0.02694703684705244,0.004328329507144104,0.04760646870880572,Shape
560,0.027715058611299245,0.008548088011807094,0.0470537135177792,Shape
570,0.02815485226926896,0.0077174762624153586,0.04858701186180211,Shape
580,0.02784420972613953,0.00561761897920841,0.0489136913121963,Shape
590,0.027241290319342804,0.00604135474409927,0.04710472607362432,Shape
600,0.028091452385749456,0.009946107484007689,0.04860121205391684,Shape
610,0.02793704226059805,0.00631591919285816,0.04829516647583351,Shape
620,0.027219342712995698,0.0049737062913098535,0.04844005571135893,Shape
630,0.027882585607781573,0.008693286394251742,0.04739220951198331,Shape
640,0.027558789258933413,0.007640018075935265,0.04632518151702106,Shape
650,0.027275500300746904,0.008546762938818387,0.04611198686972006,Shape
660,0.027266966643261968,0.008950677702838434,0.04703827699416072,Shape
670,0.027248277607721767,0.007262120261856793,0.0466034320746692,Shape
680,0.028130131030033492,0.01042524133171901,0.04670363952469177,Shape
690,0.028561302126438575,0.008026050249128096,0.04828762348031975,Shape
700,0.027588037897777626,0.008339041079025946,0.04618094880472514,Shape
710,0.027135487525588704,0.007113835779214364,0.045884764038751684,Shape
720,0.027745976374743055,0.00925641785784648,0.0466218272772781,Shape
730,0.027525131308945197,0.008583741650978187,0.04472552364908111,Shape
740,0.02833547705808601,0.01081571600066492,0.04955431303305065,Shape
750,0.02675581513357023,0.008711321008400746,0.04517492825531771,Shape
760,0.028575082450367623,0.009404891782811717,0.046158660223259554,Shape
770,0.02733256465760205,0.011010659832105413,0.04624449722113558,Shape
780,0.027525679848741453,0.01017300603807743,0.04537042674923295,Shape
790,0.02788102038126611,0.010034892232258416,0.045705051018105465,Shape
800,0.027700006101229416,0.009516939731054762,0.04517429392391528,Shape
810,0.027246495750791105,0.009358343778365676,0.045330625584397245,Shape
820,0.027599033434884603,0.009303799366299203,0.044866478540924626,Shape
830,0.026728111949188074,0.010182263655278627,0.0426736712151667,Shape
840,0.027124395914960176,0.009412015786594598,0.04383905780060369,Shape
850,0.027446939636460173,0.010441100550043226,0.04420151805604765,Shape
860,0.027338146171135468,0.008763099848421831,0.043622449825809644,Shape
870,0.027761545733034375,0.011143062874508823,0.045538786236576284,Shape
880,0.026960259573324485,0.01050495372266088,0.04264012591493208,Shape
890,0.027578182581578594,0.011884032089540305,0.04499030290868992,Shape
900,0.027273761892539227,0.011038442826940572,0.04344195467438709,Shape
910,0.02657888433982459,0.010411876264208276,0.04147932203122314,Shape
920,0.02755969808839396,0.009790828062364396,0.04417593026355074,Shape
930,0.02781845517241765,0.010973892943959682,0.04524141754283486,Shape
940,0.027610199769617438,0.01231117847310865,0.04276566480591396,Shape
950,0.027846166578014364,0.012846066873534047,0.044516118966649976,Shape
952,0.02674153956709265,0.011136461772901826,0.04304489955446612,Shape
10,0.020304769015779503,-0.1374824284595083,0.17274859773074128,Label
20,0.010463697761084906,-0.09723230133662737,0.13060074478944708,Label
30,0.012815716324397713,-0.07495930341471695,0.10325095769613232,Label
40,0.01524360072217903,-0.05792020300482784,0.09437881555730625,Label
50,0.013108364671926206,-0.05780878870475678,0.08585924392720273,Label
