SampleSize,Mean_d,CI_lower,CI_upper,Identity
10,0.06433175626288966,-0.12646502468422324,0.30049670881166335,Shape
20,0.06679261498708257,-0.07554595176094397,0.21250311603529273,Shape
30,0.07084853453284702,-0.04740964632791594,0.2011483140593332,Shape
40,0.0670194343540901,-0.028040070440109467,0.1719501115188347,Shape
50,0.06325666479052584,-0.025800789179728816,0.15843880769727725,Shape
60,0.06434877614740563,-0.019598207170318405,0.15521807996303585,Shape
70,0.062363352954960066,-0.016006903934317043,0.13566916874053675,Shape
80,0.06660136366011779,-0.003691662150761762,0.14773733594492408,Shape
90,0.06584138972355622,-0.003536056341529953,0.1321867870911086,Shape
100,0.06513943269591332,0.004538812034134875,0.12766539192393148,Shape
110,0.06726901679480642,0.011192185270564516,0.12941024426128703,Shape
120,0.0640611242836515,0.0027868431068210605,0.13412232562505821,Shape
130,0.06423305609050507,0.012108678119411612,0.11818343600874995,Shape
140,0.0701416164294086,0.013618132460350952,0.12577928919279482,Shape
150,0.06601513590728804,0.012829155970711568,0.11961935114761896,Shape
160,0.06775086417265888,0.021243512856958344,0.11439498154355089,Shape
170,0.06670392215897523,0.01818307624734605,0.11654933119910457,Shape
180,0.0662693522134416,0.017311581063678274,0.11786703788538887,Shape
190,0.06617418132529568,0.021454543387893873,0.11447728036585521,Shape
200,0.06704460581988274,0.02459719184701278,0.11562152658787121,Shape
210,0.0658078607810533,0.022935002396550445,0.1139594678806322,Shape
220,0.067317829295454,0.0245196622785865,0.1132985800552503,Shape
230,0.06669785256849854,0.026743673388579473,0.11539339983949372,Shape
240,0.06722371094333357,0.022958490072379677,0.11114184517005628,Shape
250,0.06760122157771155,0.024594944573506194,0.11265862176627267,Shape
260,0.06687296772394785,0.021966437416145713,0.10837717971008469,Shape
270,0.06622296741177719,0.02715463159637892,0.10630455708082608,Shape
280,0.06589929973932186,0.02615118278480698,0.10561246916558595,Shape
290,0.06668002387510724,0.02864729364088129,0.1065605233702484,Shape
300,0.06595233924564105,0.03639144159275277,0.10389523063112976,Shape
310,0.06623625809712534,0.03069746148779591,0.10071869810789442,Shape
320,0.06799860202127783,0.02881322186782662,0.10830901757485722,Shape
330,0.06678248220647512,0.03225268239920191,0.1027817952351847,Shape
340,0.06622775549931505,0.03506035014993105,0.10278170252378105,Shape
350,0.06573222791447694,0.03047434215543794,0.10278285505034747,Shape
360,0.0663013800116237,0.034565822685433095,0.1030211393951866,Shape
370,0.06818981268239287,0.03418829571208944,0.10300660631047003,Shape
380,0.0662212158879524,0.032195517101972146,0.10018619030994674,Shape
390,0.06586074561576476,0.03221480348302082,0.10216271429360838,Shape
400,0.06639951707808407,0.03387185955787153,0.09820466252025752,Shape
410,0.06641085534971289,0.03382259130555687,0.09578369004941961,Shape
420,0.06588231768318248,0.032752970837320906,0.09976284617714294,Shape
430,0.06732189946795053,0.037660863255912704,0.09960092820576995,Shape
440,0.06587535368854577,0.03298691960241367,0.09812035939702461,Shape
450,0.06646029259166579,0.03422148669709226,0.10001583848526267,Shape
460,0.06622312332873631,0.030921013970066694,0.09846360565809849,Shape
470,0.06539377861329783,0.034321014431985805,0.09477604307267998,Shape
480,0.06671886743973533,0.037478973499454234,0.096439869482408,Shape
490,0.0681790635229465,0.04215250267990677,0.09538973891446956,Shape
500,0.06674050343999705,0.0371389653132154,0.09435969743695691,Shape
510,0.06641417414994118,0.03679422727855381,0.0935841620568973,Shape
520,0.06667641483255282,0.03833563996888812,0.09667729576061586,Shape
530,0.06670723522815415,0.04093684988509355,0.09503977941246455,Shape
540,0.06667628914592089,0.03693074542709189,0.09384975965908157,Shape
550,0.06566572377112748,0.0391003170383868,0.09181711480907162,Shape
560,0.06661425275514007,0.0387387685759409,0.09532922804665189,Shape
570,0.06728418335124645,0.038988232109488,0.09724357314816279,Shape
580,0.06687524089826592,0.040279307725660865,0.09323544262551316,Shape
590,0.06520915510626264,0.03894095392542859,0.09005251318754369,Shape
600,0.06765729726328536,0.04271581989418073,0.09266656514623589,Shape
610,0.0665020854819719,0.03963265253861318,0.09594381773504863,Shape
620,0.0666075515425185,0.04117113819734618,0.09461583068586664,Shape
630,0.0667201161716103,0.04105597468481931,0.09366829352858924,Shape
640,0.06634915860210015,0.04129590318828105,0.0945590364179091,Shape
650,0.06675116537477764,0.041131507409849236,0.09204937147067013,Shape
660,0.06545168602181371,0.039112040346940616,0.08991820607660382,Shape
670,0.0661503303312098,0.039787717513777666,0.09115827593255377,Shape
680,0.0665686209564737,0.04301483949338031,0.09331818344316632,Shape
690,0.06645001451558522,0.043723492538202624,0.09160899717460806,Shape
700,0.06671090426213354,0.042619741143427745,0.09095546349414158,Shape
710,0.0669100691476175,0.04100284434327754,0.09165879888862284,Shape
720,0.06660302272906057,0.043053193714054985,0.09337640796851464,Shape
730,0.06728936972969515,0.04411260319992901,0.09084001334969997,Shape
740,0.0660978854210098,0.04106831146601989,0.08916569741054581,Shape
750,0.06665171501453557,0.042185261358915205,0.09162370205494431,Shape
757,0.06684557587905951,0.04417995691764452,0.09084398996949654,Shape
10,0.05395063816133704,-0.14450974935365263,0.2791548146884888,Label
20,0.0628642195231309,-0.08570372229231403,0.22623051533615596,Label
30,0.05873270820881866,-0.06631164091777496,0.18411154686382028,Label
40,0.0638313013484136,-0.04794694248126307,0.17269517214006236,Label
50,0.05989631226173893,-0.03982831690007711,0.16107130626358043,Label
60,0.05965419029796139,-0.02215590968848615,0.1452342580942759,Label
70,0.06053548493669681,-0.02113919615344725,0.14331665720075554,Label
80,0.06002079257490054,-0.016414487811933064,0.13250826228961488,Label
90,0.059641262330669347,-0.01484460829094517,0.13188205077305848,Label
100,0.06323866263972086,-0.00015821579161136746,0.13223848192871143,Label
