"SampleSize","Mean_d","CI_lower","CI_upper","Identity"
10,0.0943295885159975,-0.105552014843041,0.317472259275247,"Shape"
20,0.0963760437097712,-0.0558711505759873,0.28176583504952,"Shape"
30,0.0920887366629741,-0.0421086335584695,0.214355315481088,"Shape"
40,0.104368338286765,-0.0126521174231358,0.236056144415999,"Shape"
50,0.0974680282488817,-0.0080925515995033,0.204116313549341,"Shape"
60,0.0965939948011338,0.00882249384306783,0.188607781014842,"Shape"
70,0.102490801102669,0.00890615965754451,0.191050313842191,"Shape"
80,0.100695926812958,0.0233043110000439,0.184511658874586,"Shape"
90,0.0981632498722664,0.016562252551995,0.181982078354508,"Shape"
100,0.0995383322907505,0.0256517240110707,0.174886650750839,"Shape"
110,0.098710265277006,0.027455162658207,0.172720033652274,"Shape"
120,0.0994928872766318,0.032335346996139,0.169633986786823,"Shape"
130,0.0986101525597566,0.0246175943949784,0.164432235270224,"Shape"
140,0.10235235492169,0.0359134452850271,0.173057261529804,"Shape"
150,0.10231017390078,0.0331135692440347,0.163908001708947,"Shape"
160,0.100661022300962,0.0418235830958346,0.157308340581399,"Shape"
170,0.0998803815084804,0.046036506709408,0.159174773246281,"Shape"
180,0.0991217031223816,0.0448310537739586,0.15865776815168,"Shape"
190,0.098590752018178,0.0466442765207558,0.155969549805182,"Shape"
200,0.097985634866028,0.0376911480434477,0.153601101880998,"Shape"
210,0.102302782385236,0.0536938493346714,0.155734181518895,"Shape"
220,0.0974787694526385,0.0447516480906042,0.152149249403999,"Shape"
230,0.0992097247953106,0.0518567912369931,0.147262407335928,"Shape"
240,0.0980390068494111,0.053792106517165,0.14786914575161,"Shape"
250,0.0999589200548817,0.0532513518544805,0.145270589376361,"Shape"
260,0.0999602088972358,0.0528700159620769,0.146510755945465,"Shape"
270,0.0988400386876899,0.0544261183579502,0.146922050748583,"Shape"
280,0.0986766575275921,0.0529672762683235,0.143842977017534,"Shape"
290,0.0990714285158037,0.0531486092502503,0.143696924627674,"Shape"
300,0.0974240639309478,0.0558360649604593,0.143387492346009,"Shape"
310,0.099134029171701,0.0511525649301239,0.141171778566567,"Shape"
320,0.0982074455179217,0.0567798319731028,0.138701872101019,"Shape"
330,0.0989349642645999,0.0552012952352338,0.141922348300856,"Shape"
