"SampleSize","Mean_d","CI_lower","CI_upper","Identity"
10,0.0294554194234392,-0.178870677160016,0.220351223555743,"Shape"
20,0.0292611755660297,-0.110727559953603,0.163197087600832,"Shape"
30,0.0328557445484635,-0.079421887808436,0.157988241882841,"Shape"
40,0.0279615611449028,-0.0630876669021323,0.121189218825675,"Shape"
50,0.0281385731236311,-0.0594840846021695,0.11127333567831,"Shape"
60,0.0322991883442526,-0.0456526973549579,0.105354112841153,"Shape"
70,0.0294817217160926,-0.0472024140978261,0.0991028205605883,"Shape"
80,0.0270600105833667,-0.0343365487799555,0.0922718309978683,"Shape"
90,0.0280260065211514,-0.0379266022061353,0.0914871709773637,"Shape"
100,0.0294171180821525,-0.029545267144364,0.0883449682403842,"Shape"
110,0.0265856965838303,-0.0278417329543642,0.0840800092642767,"Shape"
120,0.0314755369108638,-0.0231168076654355,0.0795043331940895,"Shape"
130,0.029831963440491,-0.0230168937197558,0.0817409418725192,"Shape"
140,0.0288499895489648,-0.0207124645559908,0.0874079918891218,"Shape"
150,0.0290824044006505,-0.0212238608487889,0.0808926557157355,"Shape"
160,0.0278551210841554,-0.0207846802960014,0.0746166950328519,"Shape"
170,0.0305144104126271,-0.0136307975745514,0.0794150499443881,"Shape"
180,0.0284929030603913,-0.0162901944038757,0.075745355523182,"Shape"
190,0.0293630177837879,-0.0138559318818963,0.073252322695829,"Shape"
200,0.0288655706374328,-0.0101518289477076,0.0681954929292797,"Shape"
210,0.028648926847036,-0.00934666335668423,0.0699221999900545,"Shape"
220,0.0297630837468746,-0.00875936671334496,0.0696218230313276,"Shape"
230,0.0299407637822503,-0.00958994060908219,0.069673952610649,"Shape"
240,0.0296818082574466,-0.00906091377911937,0.0689411390053725,"Shape"
250,0.0304913074247565,-0.00650913537829618,0.0721486744975915,"Shape"
260,0.0299750229331816,-0.00838082965470648,0.0630769845566631,"Shape"
270,0.0285411175164241,-0.00787494711356368,0.0668115640537817,"Shape"
280,0.0285306266035422,-0.00763946048700531,0.0640383097586363,"Shape"
290,0.027980588585645,-0.00988215824756443,0.0633170284604187,"Shape"
300,0.0296834083886083,-0.00948511745398095,0.0614323620135068,"Shape"
310,0.0284301677803223,-0.00418798977156293,0.0658902431297214,"Shape"
320,0.0285523931701134,-0.00526982161569815,0.0639019407889236,"Shape"
330,0.0300301413569867,-0.000963899202469258,0.0639261506311099,"Shape"
340,0.0294030136131406,-0.00410469190871041,0.0615849472613679,"Shape"
350,0.0279523894909391,-0.0026050575098877,0.0582425300866539,"Shape"
360,0.029724197961271,-0.000911743234412053,0.0607900900618949,"Shape"
370,0.029011554673823,-0.00313602351519064,0.0605679008059759,"Shape"
380,0.0294727674686166,-0.0011599141432657,0.0634349158436903,"Shape"
390,0.0293890316401192,0.00195640384913984,0.0572640797424206,"Shape"
400,0.0288018968669113,-0.000977303973422313,0.0576431924222034,"Shape"
410,0.029142526402015,-0.000107924171346855,0.0567750905512798,"Shape"
420,0.0284956638941982,-0.000165161625603902,0.0590307952957646,"Shape"
430,0.0291411434896742,-0.00117220143023434,0.0574863638254791,"Shape"
440,0.0287474299726657,-0.000703510726891852,0.0588979797099968,"Shape"
450,0.028605982553755,0.00162792790130758,0.0543641931349308,"Shape"
460,0.0295127204184952,0.00104654922960684,0.0583626933621458,"Shape"
