"Measure","Identity","n_boot","d_mean","d_sd","ci95_lower","ci95_upper","exceeds_zero"
"RT","NonPerson",10000,0.25128604712237,0.0248929899111533,0.203071676761334,0.300257994010776,TRUE
"RT","Stranger",10000,0.234030822295414,0.0177085856129436,0.199627403971502,0.26895944920194,TRUE
"RT","Celebrity",10000,0.240512043800583,0.0329431060904923,0.176283986365585,0.30563493216007,TRUE
"RT","Acquaintance",10000,0.167457621142108,0.0440165087331063,0.0811665303943422,0.253098896516697,TRUE
"RT","Close",10000,0.162615032404361,0.0181321252262416,0.128020151773669,0.198027905420739,TRUE
"ACC","NonPerson",10000,0.207433185675836,0.0162723345602479,0.175906514837235,0.23988485648776,TRUE
"ACC","Stranger",10000,0.136013611909671,0.0114339586112815,0.11374503823581,0.158552615589663,TRUE
"ACC","Celebrity",10000,0.15250190113575,0.0213677924911132,0.110518700522551,0.194500878562916,TRUE
"ACC","Acquaintance",10000,0.130347844746002,0.0290389380706852,0.0738433868512221,0.186582198178483,TRUE
"ACC","Close",10000,0.0854509025749551,0.0117654150709664,0.0620629348039501,0.108492121784466,TRUE
