"Identity_A","Identity_B","diff_mean","diff_sd","diff_median","ci95_lower","ci95_upper","p_value_bootstrap","significant"
"Celebrity","Close",-0.291295407424037,0.0254000203717426,-0.291550834100385,-0.340595095491515,-0.241600537724499,0,TRUE
"Acquaintance","Close",-0.283832531969271,0.0524304056810827,-0.283855551750661,-0.385961487531072,-0.180516251090806,0,TRUE
"Celebrity","Acquaintance",-0.00746287545476607,0.0551587174966669,-0.00804636694490603,-0.114848479778508,0.0996216149703625,0.89,FALSE
"NonPerson","Stranger",0.0850425357660065,0.0244537059216232,0.0849652834539234,0.0369776063387846,0.132506730828221,8e-04,TRUE
"Stranger","Close",0.0954599886563867,0.0135321949064719,0.0955345973009452,0.0692653044715574,0.12213111424771,0,TRUE
"NonPerson","Close",0.180502524422393,0.0243820259980914,0.181131736992109,0.132841989814586,0.227926862683738,0,TRUE
"Stranger","Acquaintance",0.379292520625658,0.0525295632656123,0.379273148196464,0.276435339503791,0.481060632673071,0,TRUE
"Stranger","Celebrity",0.386755396080424,0.0251083821591845,0.386676426394106,0.337950624879433,0.435830026796541,0,TRUE
"NonPerson","Acquaintance",0.464335056391665,0.0539829290718175,0.463824361898156,0.35906596645633,0.569273167007136,0,TRUE
"NonPerson","Celebrity",0.471797931846431,0.0311209690269249,0.471882023770755,0.410544448321235,0.5324473445692,0,TRUE
